hour,Total_RD_Cost
7681,972849.0013059869
7682,779621.2519900186
7683,622798.6385649208
7684,565709.2784710852
7685,592427.1097700663
7686,576531.7165491966
7687,689493.6406054898
7688,864762.8395015419
7689,1.2092270157212715e6
7690,821007.4425043417
7691,866251.2622298201
7692,925001.0110732917
7693,1.1777632244114317e6
7694,907738.3085470113
7695,1.0528816051510351e6
7696,934910.7447004536
7697,1.0229936821883705e6
7698,1.4161898401347199e6
7699,1.4517537884665597e6
7700,1.4168276997514565e6
7701,1.239665443684049e6
7702,1.4087552227159312e6
7703,1.1503191774104424e6
7704,1.068650392529388e6
7705,890088.9339522186
7706,775603.4322602336
7707,675283.5705214684
7708,630576.9058877135
7709,587559.7706187922
7710,468268.35850580706
7711,607516.1224133106
7712,674607.3857310669
7713,693683.3453702227
7714,856728.1785252717
7715,618639.8848409024
7716,633896.0876175946
7717,623428.3616944606
7718,619498.2671209024
7719,847417.19592941
7720,911474.7144928577
7721,951255.883521973
7722,1.4367774715799387e6
7723,1.5143578050344596e6
7724,1.5590778968844924e6
7725,1.4075816382468415e6
7726,1.206660785248605e6
7727,1.1941006409273727e6
7728,907868.9480746464
7729,1.2284050696214035e6
7730,1.0407121694365328e6
7731,912852.3867387178
7732,885112.5975512778
7733,946557.986103889
7734,1.207210445311682e6
7735,1.9041113998647232e6
7736,2.1543887881629528e6
7737,2.4541491109924805e6
7738,2.041578416929599e6
7739,2.3960728119049654e6
7740,2.2845934278151663e6
7741,2.6672220237170905e6
7742,2.1642527305401447e6
7743,1.882686973551825e6
7744,2.113888834275523e6
7745,2.2005890910256645e6
7746,2.334408594543257e6
7747,2.4538496498415913e6
7748,2.4110238085802603e6
7749,2.418683971102551e6
7750,2.2960902067576903e6
7751,1.9661599835460675e6
7752,1.7412121427398468e6
7753,1.573264554366001e6
7754,1.3351784506762787e6
7755,1.2960162201742087e6
7756,1.1686531706418449e6
7757,1.326216538551374e6
7758,1.5113051168445887e6
7759,2.0900802858061101e6
7760,2.2462247370555336e6
7761,2.621705811154669e6
7762,2.2367004423337067e6
7763,2.6569503794325185e6
7764,2.4633574937122436e6
7765,2.8050085542846657e6
7766,2.119206907064871e6
7767,2.7204406964244577e6
7768,1.816542037219511e6
7769,1.9997641413745168e6
7770,2.4792833358055293e6
7771,2.456419311274621e6
7772,2.4038768424738636e6
7773,1.9998281617624708e6
7774,2.0926030550166168e6
7775,1.9401127759067162e6
7776,1.657604095531613e6
7777,1.3760413341389403e6
7778,1.2485235207653937e6
7779,1.0491824290011246e6
7780,954814.3010235538
7781,1.017071991152081e6
7782,1.2351795300969533e6
7783,1.6488984019364973e6
7784,1.8463186337729434e6
7785,2.291570640235262e6
7786,1.8609542278691782e6
7787,1.9222410367617211e6
7788,1.7224805499544605e6
7789,2.060050010514857e6
7790,1.6066573898822553e6
7791,1.856442138284843e6
7792,1.9008922939786208e6
7793,1.824006651125769e6
7794,2.189661380985937e6
7795,2.295538532174819e6
7796,2.3389561343371016e6
7797,1.965040965892695e6
7798,2.07265422130826e6
7799,1.9151551961364672e6
7800,1.3521708017363606e6
7801,978242.097878932
7802,1.0106590523412619e6
7803,844902.1644560517
7804,787177.9921113286
7805,908810.6195589674
7806,1.092237244046011e6
7807,1.6534235398895408e6
7808,1.7533053269246558e6
7809,2.2485329049234143e6
7810,1.7732171601988736e6
7811,1.7975359268245474e6
7812,1.6311399106855157e6
7813,2.0171892896511531e6
7814,1.6056002681295457e6
7815,1.64908127912487e6
7816,1.6328629469792577e6
7817,1.7995845464260955e6
7818,2.0786940124718025e6
7819,2.1996180048149945e6
7820,2.057949277674653e6
7821,1.7033533244955183e6
7822,1.866627673644069e6
7823,1.5783209464836519e6
7824,1.1914711779381619e6
7825,876352.5313475212
7826,718480.0355521363
7827,650463.0616758268
7828,623095.2572224459
7829,691442.7948245155
7830,875739.5899069324
7831,1.4781312462839829e6
7832,1.6068324807965606e6
7833,1.610323274134686e6
7834,1.611673691070963e6
7835,1.7612742723202913e6
7836,1.5846272098639715e6
7837,1.9977953906276042e6
7838,1.8228688986268481e6
7839,1.6095780586992411e6
7840,1.8525835668359178e6
7841,1.6835337184082652e6
7842,2.09598877360947e6
7843,2.180760504570438e6
7844,1.9947191321101068e6
7845,1.7553608946705635e6
7846,1.6694604191952127e6
7847,1.4106125471777916e6
7848,1.191033595098746e6
7849,642384.8247577326
7850,486375.09933212807
7851,446119.9005265938
7852,473944.14801765967
7853,439395.5968602762
7854,414207.4323965069
7855,457465.47869572387
7856,631710.1934193202
7857,915145.4094739254
7858,660929.193077807
7859,669795.9235839098
7860,702139.702481786
7861,847459.1521323394
7862,664288.6692259384
7863,677769.3470621804
7864,847053.1928119063
7865,739328.3933720797
7866,1.0095676804930042e6
7867,1.0724505030647262e6
7868,1.0269421923328899e6
7869,781386.7682425287
7870,691490.3039556995
7871,780551.8064009342
7872,550786.1381290093
7873,576627.2446609917
7874,444934.42537922517
7875,452327.5980073459
7876,414856.6540082256
7877,313368.48908683803
7878,379436.52553837496
7879,369194.7760562159
7880,381580.7794474844
7881,623376.4099030944
7882,661569.0703602079
7883,488977.8811088376
7884,535932.4872991
7885,486780.9334629855
7886,533818.2805188098
7887,620140.6696472261
7888,660959.3748090293
7889,522491.06155906
7890,865232.3022797196
7891,1.0058121166515427e6
7892,972636.6385062803
7893,789778.2037212735
7894,788955.191696523
7895,725796.1566513466
7896,540953.6381451458
7897,807905.7996053656
7898,639429.8342367007
7899,574701.8818308248
7900,553882.4468054036
7901,532668.4676718378
7902,822703.5313766075
7903,1.470912302657409e6
7904,1.8445558419441578e6
7905,1.6680262637849445e6
7906,1.7134982902837007e6
7907,1.8409743034976993e6
7908,1.7403867765204834e6
7909,1.9978466894979456e6
7910,1.7906636067309019e6
7911,1.8161913892748638e6
7912,1.8092236388718765e6
7913,1.728358891429635e6
7914,2.1882648976546368e6
7915,2.291949582456962e6
7916,2.1773385217716736e6
7917,1.7645555022409805e6
7918,1.8191204055545777e6
7919,1.4286500860371676e6
7920,1.1254907088283685e6
7921,1.1411518484547492e6
7922,970969.6728709613
7923,935271.0041098947
7924,836360.3812257629
7925,868323.6498225234
7926,1.106845718707043e6
7927,1.5152310866524419e6
7928,1.7907993430925044e6
7929,1.7702142732612155e6
