hour,Global_Vol_Res
7681,1582.2322425217253
7682,1392.819104207404
7683,731.2662757135281
7684,402.07440906845954
7685,676.803208353655
7686,571.7798827183655
7687,634.8571759616473
7688,193.87216758034262
7689,436.73023019825416
7690,390.7759650578847
7691,57.48063233939706
7692,62.75493334944924
7693,782.5850488825965
7694,726.0333203668279
7695,744.2715253445399
7696,419.3455528172907
7697,801.6129122819491
7698,1661.37848844317
7699,1895.1945043473881
7700,2294.6008601060053
7701,2958.9478073444766
7702,3454.304432224364
7703,2305.548389940794
7704,2725.895192543224
7705,4231.030136065541
7706,4287.531876701992
7707,4345.251550381605
7708,3265.575210508854
7709,3015.256499140482
7710,4294.323290961486
7711,2869.185964732107
7712,4080.0963932799186
7713,6330.5554992070765
7714,6293.238891892854
7715,6037.505938364637
7716,6282.135830628221
7717,5787.966363451244
7718,5657.475869970251
7719,6179.7609829311605
7720,2516.0025655279806
7721,3589.6073570938165
7722,5077.754540818142
7723,3896.511597055053
7724,5323.890243206131
7725,5237.788686101793
7726,3805.6809406435837
7727,4882.223663895604
7728,3374.590248852634
7729,3109.999556391287
7730,4100.542049198919
7731,3733.8573759266014
7732,3610.8098800966245
7733,3616.5409391459234
7734,2941.642114141746
7735,3427.890531788584
7736,3376.805391693313
7737,3360.0191283767026
7738,3594.212250985673
7739,3879.107557694282
7740,3064.66860823462
7741,4495.291847352564
7742,3780.262746520377
7743,2937.1617751332324
7744,3937.652340294594
7745,3959.6598246680373
7746,2134.070005920331
7747,3075.4674053608896
7748,4539.9050770878475
7749,4664.46885888209
7750,4652.88008248938
7751,4321.712247149721
7752,4551.749013235381
7753,5785.6672419612305
7754,3628.8811296901904
7755,5370.435955922203
7756,4168.128154823568
7757,5230.507477699865
7758,3911.937660515266
7759,3898.315275955971
7760,3954.872918266711
7761,5077.9149939638655
7762,5195.980627483988
7763,5986.337718705884
7764,7512.115794636749
7765,6080.684382373967
7766,3958.3745959566245
7767,5066.190112496328
7768,2925.1067656670525
7769,1816.9554853448583
7770,3819.8874742747403
7771,2565.4874825121356
7772,3490.6264678142697
7773,2248.8973030714915
7774,1810.936575569524
7775,2235.676911179048
7776,2573.5919981848588
7777,2978.2989692857727
7778,3064.61579292465
7779,2793.229572002762
7780,1809.9135955772815
7781,1702.218015631752
7782,1473.780484209676
7783,1329.8976882323263
7784,602.3051474751778
7785,885.2612329152387
7786,1261.0594037163305
7787,656.3510118881502
7788,901.3830672120985
7789,143.06567299478021
7790,374.8248166712631
7791,348.1310036627829
7792,504.09832836105284
7793,409.50008967484905
7794,1314.4558360810777
7795,898.781766843489
7796,1674.5325444560306
7797,2084.2985797692468
7798,1720.1478240171107
7799,2266.61909556894
7800,455.06136335391875
7801,675.9473880588013
7802,1589.0222602427782
7803,1549.2707764558204
7804,820.5721126629434
7805,1651.739809154422
7806,1081.4608778395868
7807,1494.9771519510277
7808,1133.4904003606853
7809,1002.7180890614709
7810,1147.5701965908747
7811,1025.1381232487083
7812,548.9369525848492
7813,276.7442278009501
7814,61.78775721115423
7815,4.1581826325121005
7816,1.7711454658459185
7817,0.1924523077711504
7818,63.63997844895464
7819,253.21354885034143
7820,394.12782409335347
7821,487.2585735542757
7822,632.3226503666926
7823,459.2499715268893
7824,177.52160603901052
7825,174.04651242553552
7826,133.62282386154408
7827,79.44749537089298
7828,59.67943245111318
7829,42.33661481788239
7830,115.11121359629506
7831,142.59075811516772
7832,0.09556810941550159
7833,241.01854240927108
7834,326.8698037582256
7835,578.9596832186305
7836,412.80513910789193
7837,600.6330699821181
7838,376.06176972854394
7839,221.6041249208412
7840,151.4341875966602
7841,195.8235627095623
7842,203.87837818035004
7843,271.3253857090317
7844,326.55665518869137
7845,0.0071585617585409895
7846,317.68622234192475
7847,267.4100398209254
7848,68.05591990902641
7849,0.0067404207141651545
7850,-0.0
7851,-0.0
7852,-0.0
7853,-0.0
7854,-0.0
7855,-0.0
7856,-0.0
7857,1.792952739243246
7858,3.454156757900531
7859,5.035232107116285
7860,5.998835177594451
7861,6.1265623840077374
7862,5.008419674427246
7863,-0.0
7864,1.810360438312356
7865,0.7179201858852955
7866,0.3356824844284501
7867,0.10635146599987952
7868,0.011010990152932505
7869,-0.0
7870,-0.0
7871,-0.0
7872,-0.0
7873,0.0036831140939371293
7874,-0.0
7875,-0.0
7876,-0.0
7877,-0.0
7878,-0.0
7879,-0.0
7880,-0.0
7881,1.606102646978307
7882,-0.0
7883,-0.0
7884,-0.0
7885,-0.0
7886,-0.0
7887,-0.0
7888,1.9264193416675977
7889,1.0259022347126325
7890,0.5724415345109143
7891,0.25516242324799826
7892,0.07613542239586539
7893,0.007283558365010957
7894,0.006329140736728936
7895,0.006468414110258523
7896,-0.0
7897,0.0058175600247400445
7898,0.006051530374748276
7899,17.24081831730102
7900,76.03274807724465
7901,121.12723438778234
7902,135.13792400471084
7903,71.31131510401734
7904,102.39442090790139
7905,109.39820637925571
7906,-0.0
7907,175.89544792074852
7908,276.62172168003315
7909,252.7110846507228
7910,203.08301982135782
7911,136.98024576452605
7912,95.55493285549825
7913,129.97259904493419
7914,169.0835178550508
7915,265.10307211726473
7916,147.2969984311461
7917,185.23732539712043
7918,316.595571878702
7919,350.27307646955984
7920,283.70421633687477
7921,340.4166291684759
7922,365.7933514116808
7923,294.0788335578188
7924,157.5806878871396
7925,264.65919120666086
7926,171.35560848571592
7927,0.373778637994613
7928,68.20558352990746
7929,226.2553808341565
7930,305.66605294800195
7931,388.69902368489676
7932,786.9932560698898
7933,880.7293859990073
7934,943.6672777710396
7935,1117.234036662071
7936,1065.268000771412
7937,247.85588573523904
7938,1496.777118401998
7939,765.4145424288008
7940,1173.6276634992746
7941,676.4778467977079
7942,2466.5841577643505
7943,2040.8437360259013
7944,1291.1837667896827
7945,2420.3325280595436
7946,3065.8858319551487
7947,2431.7928784313517
7948,2897.458615334018
7949,1281.845835871041
7950,2442.395019182324
7951,2311.5823221995106
7952,2144.1752824721907
7953,1401.6237686547652
7954,1508.1892844577699
7955,1333.7759803126742
7956,1071.5362295923264
7957,911.7233630318708
7958,498.73205036594516
7959,4.2048076362945075
7960,1.9781361541676927
7961,62.04537635086933
7962,0.3125881841973989
7963,130.02989988760675
7964,0.007089125237734176
7965,0.007217369082955099
7966,0.007147521829893171
7967,0.006717130457357096
7968,77.61284965229041
7969,41.98899769611571
7970,0.006973634205566085
7971,0.006383261987165047
7972,0.00648881065251157
7973,0.006632124541745508
7974,0.006240109472422063
7975,0.02990545059047712
7976,0.23656965456927803
7977,1.2531441549452935
7978,3.5215410704773404
7979,5.913065026173392
7980,6.730260727157354
7981,7.59951259417698
7982,6.337723806667561
7983,3.617761030395588
7984,1.6759840164209039
7985,0.35302871994371854
7986,0.05632594934363019
7987,14.734548018470297
7988,35.41341765369885
7989,0.006545153863379198
7990,0.006376116796218797
7991,0.007179887498037071
7992,0.006240000000938392
7993,0.006191344648889012
7994,0.006113413805819433
7995,0.006193508430435534
7996,0.03314340050671579
7997,-0.0
7998,4.140969445853848
7999,0.00661172269953749
8000,48.987325586127696
8001,8.74550785030316
8002,33.779876112655415
8003,2.3757035921983305
8004,3.6392760981185486
8005,33.882570623999364
8006,4.8427537063471515
8007,2.0444769780683543
8008,0.7090429555878053
8009,0.0441214876602045
8010,197.98823678253447
8011,95.19080175958958
8012,386.0157560323823
8013,158.70641546605668
8014,408.8409214883843
8015,558.734412096878
8016,255.20142188438356
