hour,Total_RD_Cost
7907,197471.5021086979
7908,201740.3367702392
7909,225074.14970365982
7910,261877.47494656924
7911,213990.85352256894
7912,242330.9460348071
7913,270032.29319501104
7914,266422.1513122943
7915,224024.883054697
7916,232651.28387872005
7917,234228.14471351233
7918,190178.9612163259
7919,147128.35940292254
7920,80510.3471647483
7921,56274.27631016351
7922,42909.36001461441
7923,41154.907498663786
7924,40413.17880948205
7925,52352.336882420146
7926,101942.36051049187
7927,234808.4810411212
7928,267793.87111109716
7929,199093.04648226802
7930,182176.56374846038
7931,180225.1023381575
7932,205052.69538015313
7933,221013.02808297513
7934,193292.84725560652
7935,207710.04115348315
7936,245632.67522059046
7937,273079.6260613169
7938,312356.0296840482
7939,257303.13923267805
7940,264015.83235511836
7941,165570.84143864343
7942,135797.98994680142
7943,118150.44117440902
7944,91046.5550127629
7945,36146.97371511678
7946,40064.42383428222
7947,37787.39810627746
7948,35989.811661073494
7949,27759.7741660789
7950,24680.70091945139
7951,18578.560051338234
7952,8188.326845708442
7953,25535.866095203903
7954,8079.520365445544
7955,6198.477027615767
7956,22246.78105858879
7957,20035.30642972381
7958,16827.909444491022
7959,14869.144296577715
7960,24946.06876358442
7961,20239.319999906384
7962,48974.91986782915
7963,44728.46796791618
7964,37550.85853495561
7965,41488.54119477687
7966,52250.85128489734
7967,72575.6583995377
7968,68071.26939531743
7969,99494.51021469136
7970,102332.99152469935
7971,98314.06907440392
7972,90204.57494761319
7973,90547.01831843288
7974,83631.38073660881
7975,54399.418732130274
7976,62281.811658651626
7977,60774.217759703606
7978,27754.137374473336
7979,39625.03503255439
7980,32298.690791946694
7981,28847.221190067605
7982,49115.74870046077
7983,41520.8198322206
7984,87420.06522080593
7985,114863.19442264034
7986,125614.18941825023
7987,83486.81050978624
7988,81353.95784111507
7989,104374.21285469871
7990,150484.60788198418
7991,161667.7243352279
7992,112615.78782307083
7993,179703.1454717268
7994,157758.58322179486
7995,158691.96539446333
7996,179798.0535422365
7997,209843.34759222696
7998,307186.10209201183
7999,375043.65944467066
8000,422507.345738162
8001,385757.974395511
8002,364666.0557823006
8003,355064.9074460306
8004,346036.65895425936
8005,329076.7019092425
8006,339018.83811338246
8007,256106.15365975347
8008,272643.20509338845
8009,240175.09496766728
8010,257426.13806141348
8011,215805.29538807142
8012,224205.81121124738
8013,191121.00424422146
8014,140717.0739194611
8015,96047.3323876539
8016,68560.13076789523
