time,OriginalLoad,LoadTSOM,LoadDSOM
7720,77732.00046546399,78234.94835979224,77925.06431144055
7721,77593.21905518643,77889.86411907355,77600.38731842724
7722,81130.59064791413,81608.58762643754,81098.83196120546
7723,80555.11371055513,80691.9257024574,80483.32930337053
7724,79170.12651585063,78688.30580622407,79061.43151199853
7725,75621.73141875654,74606.68907468795,75534.38916560936
7726,71075.86372537931,71016.0242345679,71065.93809138043
7727,67347.98635613188,67518.68549426775,67407.67128934908
7728,62034.7214,63221.965145794486,62082.082387031434
7729,58685.31246788813,59611.680614853736,58880.498918903395
7730,56383.97256553589,57504.95825670433,56411.233801891416
7731,55885.65931234302,56658.702053073,56117.51121447682
7732,56323.20298690882,57102.439907544496,56372.33413581628
7733,58222.89611421683,58921.289996414605,58307.39109471833
7734,62847.62371437138,63642.868224729,63070.0199883786
7735,72598.22004637506,72943.49103683709,72573.14166621261
7736,80013.55404979669,79329.71376257396,79889.52296100481
7737,82053.72673205372,81666.98699498462,81907.44842901317
7738,82455.65724665746,82669.13692908776,82467.6301847198
7739,84085.13530140405,83581.92255784679,83813.45013494577
7740,84827.09272655615,84402.90256472013,84752.7537133829
7741,83779.02462598878,83555.95177289413,83900.85662402007
7742,83351.94029329612,83313.54756153956,83174.53835654187
7743,81919.18550151511,82515.55615470809,81523.30830403202
7744,81528.27935,79896.8126674312,81511.85651033474
7745,82779.00919446413,81634.423214624,82773.1153486718
7746,84826.24469173755,84289.33716048449,84750.20674660071
7747,83360.98386286324,82912.83756683794,83308.11286583322
7748,80272.46231727538,80203.06592669975,80353.1972148372
7749,74907.75585564571,74688.97185010402,74947.58050528156
7750,70518.75892792497,70483.64706255287,70593.68963471525
7751,66369.16635630833,66299.69958153469,66421.64316166559
7752,61272.411867096554,61437.332689442854,61446.23459222511
7753,57116.03642749152,58182.808565244195,57257.55928365824
7754,54305.077972915235,55715.91190754346,54275.82401155269
7755,53509.416834037664,55095.17022438518,53680.94836014589
7756,53900.88892752219,55386.05175471419,53994.692034643085
7757,55353.99370393802,56741.62975388813,55443.87395508332
7758,59086.11160451667,60727.87552078081,59173.44943577161
7759,68456.25813617496,69805.76010260714,68457.68242396877
7760,76657.64525005413,76973.51745004988,76566.56457491846
7761,78951.63774370983,78430.30845126155,78944.43412190987
7762,79059.60969094039,78288.80323471155,79017.34997639348
7763,79810.32953,79163.65193769903,79632.46349407795
7764,81357.27595271455,80688.35734522642,81390.54809905522
7765,80580.83499116167,80037.74020620837,80286.91201326888
7766,79148.36258403854,78525.8892053584,79058.90879729949
7767,77134.47704286553,76325.16473396785,76801.4683471245
7768,76517.45112651747,75308.54788371167,76845.40607800614
7769,77648.05216822337,76725.3052106527,77658.60829204216
7770,79577.70800084458,78655.06744505791,79525.06868066423
7771,78026.52206197349,77015.65912949541,77894.19748335955
7772,75429.2467208585,74197.91414260824,75352.71436595549
7773,70634.6450017496,69761.27864551847,70644.40891220464
7774,66758.65983055196,66689.85125542292,66872.69663004875
7775,63773.30451868009,63692.83053450112,63845.867105784375
7776,58884.2986033471,59542.7497842125,59056.197947890236
7777,54664.60910600618,54756.443412659144,54713.55015296855
7778,51962.1881256975,52710.464717767056,51951.9425739377
7779,50968.67104806266,51900.222470070265,51131.17834611013
7780,50731.24502438747,51818.372955786996,50742.325879222306
7781,51280.43482384131,52077.34768693223,51255.880496382495
7782,51343.46630477812,52126.758468598695,51369.34419310986
7783,52708.38579791739,53075.465419056796,52732.383667210415
7784,56841.01861788714,56937.84556016729,56779.278789479125
7785,60944.25608566553,60637.59913432499,61117.928432469824
7786,64552.29035917976,64232.41992160693,64661.066463856216
7787,66704.9561635248,66427.725401248,66600.51116635239
7788,67666.24962100375,67453.27419156011,67640.2008732201
7789,66468.37754940512,66266.9844554778,66268.3685411199
7790,64569.530554304685,64283.33302742397,64482.24292163107
7791,62775.26517502261,62477.222148586436,62560.23062266153
7792,63017.497103965004,62646.68747366156,63209.47260077925
7793,65341.450076707246,64713.98208688083,65393.72355783665
7794,68892.38939006298,68093.64764526294,68871.8006202576
7795,68487.06732,67914.56636783874,68412.8356807443
7796,65900.81505409919,65331.365020255915,65942.1141084727
7797,62081.35817126777,61738.49629666904,62032.63244351088
7798,59195.78070552404,59293.76904620611,59251.224694666285
7799,57806.27058709404,57906.41743408467,57772.17521541631
7800,54085.17619676659,54168.33862004438,54096.336920755304
7801,50565.89406886821,50945.57018706239,50575.58165917835
7802,48166.755897498646,48564.17807555372,48075.25537810523
7803,47458.71745966974,47849.6700542218,47601.36836266644
7804,47314.28162908578,47682.46139487387,47310.94257335199
7805,47228.07468505267,47732.802097566084,47205.736629890824
7806,46905.85282071756,47444.35639990207,46916.53307909008
7807,46562.1501156215,47137.32161613657,46504.25861512344
7808,48723.01307361507,48957.13787698522,48677.49072308186
7809,52802.225568022244,52941.14674641793,52931.43676525401
7810,56959.4490078378,57034.57132212258,56999.14786633618
7811,59194.93251872904,58785.58994371042,59054.77039882057
7812,61344.77260420589,60970.66950320735,61316.148096098186
7813,61011.52617393084,60676.37205347796,60878.074113068724
7814,59476.16895000001,59274.91398710548,59539.74338466219
7815,58467.106912335534,58186.20216269543,58316.144300081956
7816,58307.4084386185,58309.80669842918,58620.73087378083
7817,60343.340247253276,59868.27565488331,60363.137446781366
7818,64419.72720303673,63894.77294505594,64409.21340314917
7819,65013.292184933525,64041.29805395552,64963.852677991956
7820,63746.73568749346,63390.56241018395,63762.76304628523
7821,61023.96218361659,60822.32678073541,61015.15987538077
7822,59283.39975863157,59224.56381911467,59303.93168023122
7823,58724.600946377,58806.07850840365,58685.921735717886
7824,55012.55315025104,55515.29299360172,55028.59860127379
7825,51957.66581957665,53378.33299625128,52160.42302448156
7826,49934.17052967085,51331.3220783657,50083.59696102646
7827,49416.07119817499,50833.34028916021,49715.07547221434
7828,49955.9342201322,51286.182475036374,50089.1778991278
7829,52041.612864291295,53371.86111919546,52179.87336296925
7830,57056.3978529436,57798.8307620695,57203.02554430133
7831,67340.63690734064,67433.60510168162,67467.14096595648
