id,BAU,DSOM,TSOM
1,86165.72752632017,86003.35461261412,85522.10400590365
2,85189.45153518944,84991.33581441254,84970.3392161619
3,84827.09272655615,84752.7537133829,84402.90256472013
4,84826.24469173755,84750.20674660071,84289.33716048449
5,84085.13530140405,83900.85662402007,83779.6364595743
6,83998.07894201345,83813.45013494577,83581.92255784679
7,83841.49056310958,83750.73702672741,83555.95177289413
8,83779.02462598878,83748.97845658532,83511.80132159064
9,83702.70941518915,83668.04136339156,83401.37171582392
10,83641.65866190818,83582.67870723241,83352.89487671452
11,83592.47630077743,83554.39302428818,83313.54756153956
12,83367.76922347108,83340.91202277088,83266.19652044294
13,83360.98386286324,83325.03043459443,83222.93642633584
14,83351.94029329612,83308.11286583322,83197.47439764637
15,83329.89322002063,83303.08506146198,83014.25923308058
16,83314.34918971523,83269.06944368147,83001.13559951507
17,83295.12754340975,83229.10020740557,82912.83756683794
18,83254.70801396233,83174.53835654187,82864.67320698599
19,83145.88873887534,83153.39349019818,82852.44712631725
20,83136.27795372745,83118.96764621387,82850.80846319336
21,83133.45219193416,83084.94657176023,82837.66863185732
22,83130.05997626013,83040.20230077946,82806.09418251767
23,83106.88222067934,82988.07803777918,82764.19232491951
24,83091.61850908381,82987.56762828177,82669.13692908776
25,83083.13973691686,82918.45391374175,82605.08658722388
26,83002.86766102006,82918.27469848994,82600.02522641103
27,82995.8011419832,82893.79668709022,82573.9261949365
28,82862.10761717265,82773.1153486718,82515.55615470809
29,82858.99904716696,82760.56381074584,82492.60073075109
30,82816.31740873473,82736.48867922029,82484.44874672644
31,82808.12037315128,82726.44086858662,82472.33538812553
32,82779.00919446413,82713.54105468953,82441.73642332527
33,82760.06987619966,82631.51244194593,82426.15819084087
34,82726.71810908703,82603.91855012099,82389.00617726283
35,82704.95309918019,82585.26172459338,82353.77370118692
36,82655.77200203268,82561.3782302741,82342.92912747918
37,82619.59223642366,82521.54354496533,82336.34084826946
38,82597.82847701086,82503.19622587049,82327.27756781716
39,82569.84789368739,82477.93226694337,82308.57490390274
40,82565.60598690953,82467.7551973619,82275.03368854537
41,82558.54005720731,82467.6301847198,82267.83732691241
42,82557.40953977036,82455.84187614243,82251.68261642949
43,82540.16728205814,82440.55505095396,82203.05896651105
44,82530.55807,82428.5169350321,82164.34511189772
45,82486.74641513253,82419.93000386222,82141.25923996927
46,82455.65724665746,82392.23877147358,82113.60383130416
47,82440.95720047233,82368.30112765648,82111.89663823371
48,82438.97946487796,82323.02575801655,82099.15669297319
49,82414.10622482821,82311.4296182529,82082.1393120199
50,82387.25508387253,82302.306639356,82066.58484587613
51,82355.03160586981,82250.59160613731,82054.710525428
52,82344.29187406573,82249.91338549723,82029.66449399739
53,82333.5509893342,82236.19956467819,82017.56709543384
54,82287.76021025912,82179.993623012,81949.28783251268
55,82248.47269550305,82170.36439197516,81938.46507795487
56,82240.5576531133,82148.64508095739,81829.56799903513
57,82161.13352135546,82136.0811576701,81809.61609965813
