SummeUp,SummeLL,SummeDn,Case
520634.85542673216,28132.648906263035,-548767.5029144601,BAU
516162.42011909175,27251.507800095213,-543413.9265006375,DSOM
474559.9291221682,26999.840714375685,-501559.7684179659,TSOM
