time,OriginalLoad,LoadTSOM,LoadDSOM
7681,58414.03045800988,58039.020843469516,58571.27709430755
7682,55534.2384720271,56034.14808536488,55674.49484054703
7683,53767.8805804555,52930.2882920182,53829.74776276792
7684,53059.42081136815,53341.93106174577,53188.653813562036
7685,52897.947847055126,53507.92542804718,52901.31952694642
7686,53068.28432632233,52596.983101775426,53325.60653950322
7687,54509.47223385503,53545.62937758675,54492.43239351529
7688,57995.61368011714,58064.77473211605,58082.7811752802
7689,61779.09171106019,59826.41046254509,61446.25196443635
7690,64470.722067775634,64023.7731396161,63276.20250076322
7691,65578.46519686568,65431.165844255724,64179.58034950275
7692,66007.5770647585,68510.83431323478,65798.60252890135
7693,64968.15822621937,67105.69841256266,65909.91568759066
7694,63351.49888795155,65836.69770084451,65536.82105851114
7695,62229.56105225587,62703.146501949006,62800.304312247776
7696,61981.709700511085,61300.009885151434,61499.967642481024
7697,64043.80154859845,62948.187990537815,63412.04309664667
7698,68440.79180651809,66967.15437929025,67725.40667859944
7699,69205.21273459664,68134.09823435677,68760.74038576976
7700,67413.47444596067,66416.90050911892,67025.48581170243
7701,63878.436487312894,63815.81515713314,63947.94679190777
7702,61619.05784142606,62147.75005520344,62066.87786440791
7703,60244.39535609566,61103.608671257505,60497.83251314294
7704,57117.96216616625,57244.852524101996,57626.51237024214
7705,53698.05178183119,53542.505006351144,53468.700289059496
7706,50931.39226162898,51217.691828380426,50896.98348006489
7707,49118.754393451585,49854.45662711007,49285.94703637521
7708,48271.12762757429,48883.33926501416,48558.28663203111
7709,47896.047223535046,49055.79625817882,48054.462857617465
7710,47665.6285414234,47389.16831115709,48143.057354033925
7711,47696.274716744716,48057.90867965294,48021.54811276174
7712,49715.38996464829,50224.764061563976,49914.159809359524
7713,53308.38419081939,52287.50986124541,53267.93573729464
7714,56171.69200138921,55214.5899478008,56696.2348568062
7715,57969.02313525458,57410.667637849845,57930.10910403373
7716,59662.2488517798,58637.66854440643,59332.109740430926
7717,58941.098884160245,58135.43942685902,58997.148681330575
7718,57341.218081580606,56655.51619314485,57520.977492377286
7719,56288.487617261555,54935.78032961281,56825.775070510506
7720,55807.306687350036,57712.499574013156,55873.205638519976
7721,57773.9276861707,58441.66358871383,57369.81526451431
7722,63082.2573562066,63026.91301026413,62616.58587874934
7723,65439.39632016749,65404.543790432406,65538.17296258916
7724,64511.60543933552,64231.557338805294,64042.55046690949
7725,62304.45938895363,62328.5857029494,61970.72510608535
7726,60943.5010097701,61743.37660219938,61108.666214250705
7727,60526.78498013426,60063.95784411466,60043.99341536884
7728,57476.16591442556,58084.32462577681,57063.07285452249
7729,58338.87046773414,59530.86544212822,59248.40200074634
7730,55395.1695953289,55764.220490439024,55679.15429016197
7731,53565.42612449084,53855.91109880336,53795.64372597885
7732,53355.71078173713,53556.19814617495,53571.52298368691
7733,54480.26515321262,54731.66867652944,54659.244656554176
7734,58431.46312764304,59964.37568170932,59426.73845641382
7735,67587.93196908112,67716.9167985048,67697.92652389576
7736,74626.93652399113,74101.42662971542,74483.51690998075
7737,77168.05065997162,76227.66736797275,76648.95241727562
7738,77293.74249749542,76755.01362946059,76314.07032395438
7739,77695.8059267642,78734.44477265542,77994.3704566344
7740,77969.62639612384,79537.74814814587,78026.92849454691
7741,76711.75952666579,77659.65850473312,78058.56832121717
7742,76148.7791469372,75845.16195775049,76166.53709860184
7743,75392.24053289539,74232.85141804822,74176.2063904056
7744,74688.94842197321,74162.30649640522,74371.78527173855
7745,75826.3238187699,74556.4119081292,75154.72410638133
7746,80280.35455668994,79148.87937363329,79213.95230542851
7747,81020.73606229127,79405.05823986843,80101.34931171198
7748,79484.20813228087,77830.42567278775,78580.52416125196
7749,75280.35092161024,74377.06930591604,75164.24748938052
7750,71647.65076498018,72052.70504404881,72325.8239253127
7751,68236.44036211302,69458.25277343737,68944.10604298311
7752,63517.41996309028,64938.973856874065,64339.91576962821
7753,61826.5491287669,62299.79307740692,62091.1734612359
