Case,SummeUp,SummeLL,SummeDn
BAU,4.1678149573697366e7,3.177608543476976e6,-4.485575811716977e7
DSOM,4.137752213100627e7,3.071587762271426e6,-4.444910989327319e7
TSOM,4.0214799084390186e7,3.053839576565502e6,-4.3268638660951555e7
