id,BAU,DSOM,TSOM
106,81528.50753706535,80870.06808166736,81360.04245473714
107,81496.74933403762,80862.58990122184,81346.81114058728
108,81489.97904770728,80860.92538991278,81346.01446702715
109,81466.98623954199,80854.71756751227,81334.12186227544
110,81466.43022568876,80853.94399089638,81327.83536114042
111,81457.82836431258,80849.0183600834,81311.93419992851
112,81447.13327431251,80846.09210522965,81310.98745759536
113,81434.67202266105,80846.03739967312,81307.34391764495
114,81425.67768091787,80833.36896963247,81297.265350691
115,81418.05702045909,80826.89862924119,81293.17464924937
116,81387.54167192678,80814.47575530871,81289.062803467
117,81385.1867897249,80809.99242472452,81269.67056980841
118,81385.05596293596,80798.57890227124,81267.34410343661
119,81365.88983834865,80779.66985360543,81259.03815252925
120,81365.53006467891,80767.74181858891,81248.46813856861
121,81365.17029100921,80767.51121628162,81236.16601142226
122,81355.26016174306,80767.29647887265,81235.84302201937
123,81339.72448055033,80758.42210157645,81228.02998323951
124,81335.43990321082,80734.44161252775,81218.96685484899
125,81316.07753844006,80730.3351235344,81216.44967450178
126,81264.62990366906,80727.63076355062,81215.91935399144
127,81242.38934954048,80722.01189234495,81199.01307689033
128,81234.80139577897,80708.16777556675,81178.41930931494
129,81211.84129431093,80684.92848121774,81156.43330838243
130,81201.14620431085,80674.57837182244,81154.00465065657
131,81195.32441220072,80664.02739573289,81149.6880302796
132,81180.18121137492,80662.32387582323,81141.73903060603
133,81160.8515533014,80658.39821649973,81132.92426501993
134,81135.209502659,80654.43709847827,81122.50041299846
135,81125.62644036538,80642.45304095818,81109.80878962042
136,81116.8283388057,80641.23422785482,81109.70927098009
137,81092.00395559453,80632.26461246701,81106.47144069937
138,81085.39720275042,80629.29335939222,81083.68341259017
139,81053.7044131172,80620.06656326563,81081.0612364769
140,81020.73606229127,80611.36920675465,81071.5371307353
141,80974.78315265795,80606.60904697841,81028.33104170943
142,80947.60388724491,80596.43100606489,81021.27663681224
143,80945.90313898801,80566.75383539665,81000.8172590782
144,80927.88174880442,80552.53753113326,80999.32446764945
145,80916.04192440066,80540.95216282608,80996.16346394013
146,80902.10887137303,80539.81497662049,80995.76967260451
147,80876.23787384992,80510.84820923177,80985.66992937138
148,80872.7382572444,80510.2495147841,80980.218575901
149,80869.53300091409,80495.71882255943,80957.08978801829
150,80855.79618806996,80495.56803047047,80938.53069201221
151,80852.81987862042,80481.80707014058,80936.49917601388
152,80851.74055761122,80474.74028700696,80914.8364548545
153,80846.96537981303,80468.70932579151,80912.45957409599
154,80846.08229898733,80447.65762799456,80901.43342698879
155,80835.35450229002,80447.11588487471,80862.00632205444
156,80834.99472862028,80429.41059557874,80847.20535489409
157,80827.57030834504,80380.87982280036,80839.45880730737
158,80826.16392036338,80353.26994314989,80835.6959249208
159,80803.40005907879,80341.94988062,80832.14739599975
160,80796.72789284024,80309.1680319715,80816.7448096807
161,80775.2722994456,80268.70609748179,80811.25560530674
162,80773.83320476666,80259.90694012262,80810.21432695175
163,80761.82984687667,80245.98966038253,80806.92497532915
164,80748.64904788576,80241.03354150784,80806.29388102083
165,80732.81900641778,80234.49729784485,80799.21701179027
166,80730.26788403244,80233.90376589367,80794.77713327442
167,80714.92844302316,80229.26769238347,80794.60344774461
168,80711.59235990384,80227.51809479068,80789.88150453389
169,80711.29799962863,80213.60346528397,80788.75513823716
170,80705.149140546,80212.07490981673,80785.0042946859
171,80696.87434614229,80209.02592469688,80784.2563404098
172,80688.56684504132,80195.20881779594,80775.13886287919
173,80686.27737623396,80194.8148663345,80774.61563400466
174,80685.29617531653,80194.4719301121,80760.9155191662
175,80680.78265109629,80182.19874372287,80743.72401932179
176,80664.88719623382,80180.94098305979,80692.03617729039
177,80664.03682210538,80175.42820535412,80690.94264272804
178,80663.41539485764,80171.31843525443,80627.08046487525
179,80660.86427247233,80156.23324127904,80624.27992159208
180,80658.70563045399,80140.91378753154,80615.98707135722
181,80630.02185696753,80135.38178587705,80614.19577929308
182,80614.51888247202,80118.01152387085,80598.72551069809
183,80612.55648063714,80108.3422706236,80591.99872412943
184,80604.57604650862,80101.34931171198,80589.31667292527
185,80597.21703962785,80099.55807949936,80578.90321540051
186,80587.56856393971,80095.52679382,80566.93519711013
187,80584.19977412318,80078.11478144048,80562.03291817012
188,80562.87500751755,80072.49082674625,80560.58667305058
189,80557.64193595787,80059.641060303,80554.91568957697
190,80551.13330320554,80057.2708966487,80553.50594583312
191,80527.2901209118,80048.69054229298,80542.24073077776
192,80519.96382072826,80036.11782619944,80537.95323647567
193,80491.93418118676,80024.37035978682,80533.67350085324
194,80476.82368705822,80022.41705927087,80531.64999957648
195,80428.71213540653,80021.95862238169,80524.72188683998
196,80417.65727173671,80017.26432169159,80519.03246472847
197,80415.92381678261,80012.70019021069,80518.58000751807
198,80401.10768292927,80008.34199877732,80515.81683883099
199,80393.91220953474,79991.25335081456,80499.26297050067
200,80383.24982623191,79980.27872394836,80498.72421593903
201,80370.55962769974,79978.9829454242,80490.6322960892
202,80365.71903650701,79962.7821798916,80481.27037316341
203,80339.39014522245,79959.14540026408,80468.25169506106
204,80335.36722146094,79958.0355497447,80461.72688901446
205,80323.85446402969,79944.755846806,80461.32538490738
206,80292.09626100193,79916.73577180687,80452.69877526496
207,80287.94251045144,79916.33333440758,80448.27974949115
208,80282.84026568077,79912.0509809972,80447.75030425165
209,80280.35455668994,79903.4874373774,80446.59575175261
210,80271.91622879996,79901.54072623346,80434.89047132958
211,80246.89560540533,79900.4797795873,80425.88943507818
212,80245.68545760713,79880.5320829654,80424.91783262987
213,80237.05088953367,79850.02098693502,80418.5229956957
214,80227.50053393729,79846.77541761125,80405.93264887507
215,80215.39905595555,79842.71291408529,80403.70046778284
216,80185.43972127645,79842.70543449985,80399.50124061177
217,80179.58522246906,79832.22749419385,80398.38915128789
218,80175.43147191858,79831.02474187603,80390.992345151
219,80173.86155045066,79824.9243929064,80384.01273353696
220,80171.57208164333,79823.40500630645,80381.90579674962
221,80169.60967980846,79804.10258841692,80378.10600471764
222,80168.43223870754,79788.55259988768,80355.71624513494
223,80167.35291769833,79787.58405461053,80347.15226774118
224,80156.59241430377,79775.15431719132,80341.62484273077
225,80145.76649751472,79773.00183430551,80325.39728571755
226,80131.47367081737,79772.66413281037,80318.86407698937
227,80123.68947687236,79769.74059733098,80306.19089890365
228,80117.47520439525,79745.98305027702,80305.7455590981
229,80090.75383274369,79737.6422384317,80303.445682496
230,80088.49707063359,79732.41675570772,80279.49476818957
231,80082.7733986152,79727.78607942538,80264.67536924468
232,80082.74069191795,79727.00437770695,80247.0880230931
233,80082.0211445785,79725.00276207978,80245.81216140836
234,80059.78059044993,79718.47330423452,80241.91427115255
235,80055.88849347741,79717.4593143238,80225.44281865448
236,80053.89338494529,79717.06524623359,80220.36447132308
237,80019.02804567899,79704.28498468775,80219.37472446838
238,80018.43932512851,79683.15491898965,80218.38318461066
239,80014.64534824777,79682.61552846227,80217.22082085237
240,80011.76715888997,79676.04992394056,80207.37825871131
241,80009.5758101743,79644.42692611968,80205.18853325862
242,80008.98708962392,79635.70684938814,80202.52303929276
243,80006.69762081651,79631.29101143431,80195.31514710904
244,79983.44315907326,79629.47337609935,80182.0414659803
245,79979.68188888975,79623.10768557708,80168.55564692267
246,79946.81165815558,79619.66866207145,80165.64311434989
247,79940.04137182524,79617.23568284082,80160.1236953304
248,79939.9432517335,79613.13425399312,80155.50228329636
249,79938.01355659589,79576.89348864075,80142.43576057702
250,79936.24739494447,79566.32207814601,80138.67861510869
251,79928.13613402701,79556.253240952,80134.93339403131
252,79911.71737200853,79555.16558073199,80131.38677712856
253,79910.57263760487,79541.10057466905,80123.16567876113
254,79907.95610182502,79534.80928450939,80119.79487972082
255,79894.57906265062,79528.67131433364,80100.23976381026
