hour,Total_RD_Cost
7681,6026.448505481008
7682,5947.8012042982755
7683,7369.602243475641
7684,6249.662971212166
7685,7091.647074541884
7686,31771.666338182276
7687,167115.56892098856
7688,240618.08065481245
7689,228583.70009777212
7690,201687.4969344726
7691,242278.56814096717
7692,261011.0513808192
7693,245244.62533223868
7694,278874.15132260416
7695,282790.6879510309
7696,313428.1095555166
7697,295016.05910728103
7698,312213.42607983254
7699,311224.2883704854
7700,247509.05357359487
7701,221156.82164772347
7702,184146.75204850468
7703,222037.031494486
7704,188826.83981086552
7705,268240.0975693585
7706,268641.0318690995
7707,250320.10597152959
7708,262928.67795754276
7709,271179.6446843303
7710,347993.082313808
7711,429932.93198253773
7712,478372.5659574302
7713,400900.23505036667
7714,322899.6361161679
7715,318482.6624500019
7716,287502.1243660059
7717,248888.3063488536
7718,237694.30145619906
7719,233427.077706085
7720,211613.38811647985
7721,203145.03193547664
7722,237030.18698872952
7723,231902.185764789
7724,258220.44909310897
7725,287832.6667144623
7726,256396.1155782459
7727,244337.17518009263
7728,162874.46482072654
7729,190595.80635793618
7730,172501.78468883966
7731,156105.4524387523
7732,154617.6943790688
7733,196318.01304338302
7734,292970.8383178543
7735,378932.6227057075
7736,484337.49423976935
7737,447962.5448570301
7738,413691.5611450727
7739,458642.47140677023
7740,472792.7028316402
7741,448008.9220089888
7742,468165.92006288754
7743,476274.1517088372
7744,507824.00721832097
7745,483800.5213763169
7746,420456.0189777468
7747,325515.0687472386
7748,244349.4277906071
7749,184238.22609403782
7750,135530.16235242234
7751,75043.08593292309
7752,37954.19659936349
7753,40553.47903764162
7754,43224.82844941821
7755,46886.72939097282
7756,50127.08766873105
7757,39114.3965865069
7758,71791.65570401726
7759,182245.88907606175
7760,320458.2344367293
7761,292974.57482474815
7762,267565.6460603603
7763,283882.0499671307
7764,296390.61245241115
7765,253491.93924606012
7766,259270.07696054757
7767,240975.52386530643
7768,226682.04504152306
7769,229907.01369838894
7770,228124.16485429194
7771,180234.79870270554
7772,161589.21248800584
7773,112395.47425228264
7774,56369.25548570897
7775,45423.0133649782
7776,7351.6065101415925
7777,5411.808252794448
7778,3672.859006521774
7779,3856.8798908037465
7780,3839.9595852034618
7781,4198.50270695445
7782,4013.1971334675445
7783,5116.351200019767
7784,5454.543874559913
7785,18372.913552798123
7786,20134.505915407073
7787,18662.50472643144
7788,18386.063404245295
7789,16946.48409863283
7790,18099.3077025
7791,19853.096271969553
7792,32412.473785180853
7793,38536.54301841801
7794,47301.19798959196
7795,35529.26092601013
7796,33374.14042858961
7797,20056.854081566555
7798,4726.356169598758
7799,4491.129839047369
7800,3144.5094159400896
7801,2266.8096789911183
7802,3709.865312892181
7803,2992.8761765964164
7804,2867.803666096841
7805,2377.570430086665
7806,2155.3985673625216
7807,2667.4782749633137
7808,9581.851347788772
7809,22103.759832455453
7810,30736.633779086515
7811,45856.901046367646
7812,54622.339102962665
7813,55936.21813366916
7814,50506.64293946021
7815,49444.79707328601
7816,48935.16530445665
7817,54191.21437266945
7818,70450.3439947087
7819,79051.49602100562
7820,49349.72635092845
7821,39051.0454063388
7822,29031.89423784793
7823,21568.519319688465
7824,12338.585937843398
7825,33665.690122848035
7826,15300.159008728871
7827,11539.994283356082
7828,25012.442177465487
7829,26102.65686274076
7830,48298.688319999215
7831,142305.78454220272
7832,241771.63132235076
7833,206282.00551883888
7834,175016.3026472352
7835,193518.5387593982
7836,187363.44773652632
7837,182602.2466319566
7838,208988.73226623275
7839,241131.5083294395
7840,261235.4558914131
7841,279525.4683054312
7842,305198.0785123625
7843,262176.0035039801
7844,274001.3553541483
7845,242122.12486919295
7846,176048.53633599853
7847,119654.44016537111
7848,58343.11978896691
7849,29068.519920179606
7850,30330.340865588092
7851,32791.29212034034
7852,41719.52482338153
7853,58836.754405954576
7854,109997.41372806318
7855,273265.8725954806
7856,403101.9327622961
7857,355367.251316637
7858,213024.02066036972
7859,306838.2408846913
7860,281938.7174655079
7861,262430.40635985817
7862,305998.1457046547
7863,387273.76458478416
7864,455113.81235820253
7865,519962.4656880008
7866,528453.8694869763
7867,451547.78934497
7868,380874.3808051556
7869,278082.26654284424
7870,179411.3442013908
7871,145666.78410943918
7872,76072.2263630901
7873,103053.05434670718
7874,86136.67587120412
7875,67864.0794734463
7876,68018.9635428131
7877,81838.86177643038
7878,123246.79333015866
7879,265800.09785486216
7880,343733.715994217
7881,311810.7837190014
7882,287101.6685412354
7883,300564.32208747824
7884,289795.6391433821
7885,273779.8156797954
7886,313204.1341953427
7887,320555.2962396086
7888,316363.8107204133
7889,331811.5014002251
7890,312872.5698736566
7891,274536.9320174972
7892,251395.8456017033
7893,235538.1674787634
7894,171992.4509432593
7895,123677.41204946664
7896,65897.82500366813
7897,77193.40757162025
7898,76816.37803410621
7899,67260.96272325586
7900,71987.72967924802
7901,90156.97633982511
7902,125180.01548584741
7903,268444.9703886737
7904,341881.2881576179
7905,295428.3953089348
7906,260859.66832686783
7907,255993.27461560877
7908,246990.36735040107
7909,245819.78431778916
7910,267310.3246243515
7911,273079.456066732
7912,272830.73311267764
7913,288456.5201775236
7914,290384.4507091083
7915,246798.68506938856
7916,232217.8248058892
7917,230651.60936888377
7918,173421.87654336164
7919,121740.69773361593
7920,56346.52088625796
7921,30066.09403444215
7922,23465.56081501206
7923,20098.93432516283
7924,20412.98506727017
7925,30693.73782605758
7926,80784.59680891699
7927,229500.6270366197
7928,312711.6503481229
7929,266477.13390293444
7930,252260.8534347849
7931,239063.05308893562
7932,211349.70761287303
7933,196863.4338942774
7934,185700.41626574614
7935,220528.8776017365
7936,239448.9567152009
7937,296179.67699255387
7938,342337.00042760116
7939,281171.15243903105
7940,261825.7867644498
7941,150958.17136173285
7942,123073.94285160804
7943,112129.67921836663
7944,59431.99017703096
7945,37279.56860289427
7946,45447.49598730471
7947,34781.545356446215
7948,37328.751323853314
7949,28764.82018380231
7950,23826.456984396897
7951,17775.116774420767
7952,10388.812971176274
7953,13824.695813549319
7954,8417.690327977718
7955,8892.604983820092
7956,23953.82274215733
7957,10535.69126411686
7958,12956.37283395653
7959,13007.85417647322
7960,15681.248956056823
7961,28109.682724401413
7962,62974.64948341721
7963,45112.47571098902
7964,38073.84337343017
7965,40302.22380881448
7966,52538.402540218034
7967,73987.73407084668
7968,69125.2039884013
7969,99181.38246508964
7970,104473.124842908
7971,97042.82074334362
7972,89548.9261808231
7973,89319.9913569709
7974,83651.232365506
7975,55190.24596127577
7976,61504.69214103962
7977,57684.60058905022
7978,27802.948696609492
7979,40674.30803048273
7980,33333.29983736324
7981,33036.47909305903
7982,50216.20276596447
7983,47802.09893720027
7984,76981.83655949718
7985,141531.09112530528
7986,152560.19872473407
7987,106221.96779667272
7988,85361.94056247789
7989,106447.37255602828
7990,151974.16275194343
7991,167443.4419440963
7992,114959.66709780038
7993,176368.09238834897
7994,158744.1066173224
7995,155075.0572975241
7996,176317.76584633582
7997,201848.9137896034
7998,278900.51250552654
7999,356758.31965029717
8000,441912.059272625
8001,419934.8526165937
8002,385586.7949113119
8003,403423.61770700023
8004,406118.163143196
8005,354927.55668339896
8006,357938.99465372256
8007,309884.27973863174
8008,283534.5850083362
8009,268600.2878091108
8010,261947.73630421577
8011,223308.07048779828
8012,204074.41837877868
8013,184880.67495446804
8014,134422.47749769644
8015,91623.08353586844
8016,39396.95613286531
