hour,Global_Vol_Res
7681,-0.0
7682,-0.0
7683,-0.0
7684,-0.0
7685,-0.0
7686,-0.0
7687,-0.0
7688,-0.0
7689,-0.0
7690,-0.0
7691,-0.0
7692,-0.0
7693,-0.0
7694,-0.0
7695,-0.0
7696,-0.0
7697,-0.0
7698,-0.0
7699,-0.0
7700,-0.0
7701,-0.0
7702,393.24710713497103
7703,969.6624445412633
7704,1287.1078220743575
7705,2019.5952380494891
7706,2295.1376157412988
7707,2355.005095027718
7708,2237.943053844553
7709,2204.57346394889
7710,2111.979515257549
7711,1680.1641980988038
7712,1321.21777770468
7713,922.9802789029873
7714,812.756041774481
7715,923.4860180965475
7716,978.0831595345321
7717,956.9216296865495
7718,813.7907453518098
7719,582.899308038483
7720,286.2459630420606
7721,126.67421751028651
7722,46.9983071544986
7723,372.65709891467446
7724,688.0296478080505
7725,869.3272482976447
7726,1082.917763804116
7727,1433.5584732158948
7728,1617.336430391415
7729,1398.9051058923608
7730,1429.5662774495509
7731,1259.8797103513132
7732,1201.654197527064
7733,1316.7309948552647
7734,1345.8677818345193
7735,1283.8739620025822
7736,1276.4652401472206
7737,1339.902108020329
7738,1411.454053143201
7739,1512.111425539871
7740,1586.8767358833795
7741,1643.3233873322406
7742,1556.334882629111
7743,1415.0104537934328
7744,1276.061260131612
7745,1023.4803494850595
7746,760.4066955383586
7747,585.441512429399
7748,405.3220612723645
7749,249.37525099018498
7750,136.6600548672593
7751,76.56501965873619
7752,20.802765667327307
7753,66.8971955909613
7754,64.28524768607969
7755,75.83066674715477
7756,108.11781273837306
7757,61.74560537906171
7758,88.53544714350245
7759,1.1600673442728748
7760,-0.0
7761,-0.0
7762,-0.0
7763,48.1640516849139
7764,53.05495512599329
7765,41.95516499908947
7766,-0.0
7767,-0.0
7768,-0.0
7769,-0.0
7770,-0.0
7771,-0.0
7772,-0.0
7773,-0.0
7774,-0.0
7775,-0.0
7776,-0.0
7777,-0.0
7778,-0.0
7779,-0.0
7780,-0.0
7781,-0.0
7782,-0.0
7783,-0.0
7784,-0.0
7785,-0.0
7786,-0.0
7787,-0.0
7788,-0.0
7789,-0.0
7790,-0.0
7791,-0.0
7792,-0.0
7793,-0.0
7794,-0.0
7795,-0.0
7796,-0.0
7797,-0.0
7798,-0.0
7799,-0.0
7800,-0.0
7801,-0.0
7802,-0.0
7803,-0.0
7804,-0.0
7805,-0.0
7806,-0.0
7807,-0.0
7808,58.56048730345087
7809,203.5553858140795
7810,389.24785385650426
7811,627.7106216448765
7812,759.9569922358431
7813,772.9932171959031
7814,637.6188377414347
7815,527.1075187294633
7816,442.5754756473386
7817,401.3199037232997
7818,436.9227545258632
7819,483.84504737641134
7820,411.8589452396062
7821,343.30751297342397
7822,183.66837816953162
7823,69.51769888891369
7824,-0.0
7825,-0.0
7826,-0.0
7827,-0.0
7828,-0.0
7829,-0.0
7830,-0.0
7831,-0.0
7832,-0.0
7833,-0.0
7834,-0.0
7835,-0.0
7836,-0.0
7837,-0.0
7838,-0.0
7839,-0.0
7840,-0.0
7841,-0.0
7842,-0.0
7843,-0.0
7844,-0.0
7845,-0.0
7846,-0.0
7847,-0.0
7848,-0.0
7849,-0.0
7850,-0.0
7851,-0.0
7852,19.82071770827387
7853,48.501323340631956
7854,36.21232508038208
7855,18.279425318552533
7856,36.591032087235135
7857,100.43232590787876
7858,175.83567219429375
7859,341.5284118630795
7860,377.3010076255035
7861,418.2897525883362
7862,466.3053373368
7863,458.07442966588627
7864,421.75571960575377
7865,363.5593928391141
7866,289.8781769687662
7867,168.26642776508294
7868,34.71236667286881
7869,-0.0
7870,-0.0
7871,-0.0
7872,-0.0
7873,-0.0
7874,-0.0
7875,-0.0
7876,-0.0
7877,-0.0
7878,-0.0
7879,-0.0
7880,-0.0
7881,-0.0
7882,-0.0
7883,-0.0
7884,-0.0
7885,-0.0
7886,-0.0
7887,-0.0
7888,-0.0
7889,-0.0
7890,-0.0
7891,-0.0
7892,-0.0
7893,-0.0
7894,-0.0
7895,-0.0
7896,-0.0
7897,-0.0
7898,-0.0
7899,-0.0
7900,-0.0
7901,-0.0
7902,-0.0
7903,-0.0
7904,-0.0
7905,-0.0
7906,-0.0
7907,-0.0
7908,-0.0
7909,-0.0
7910,-0.0
7911,-0.0
7912,-0.0
7913,-0.0
7914,-0.0
7915,-0.0
7916,-0.0
7917,-0.0
7918,-0.0
7919,-0.0
7920,-0.0
7921,-0.0
7922,-0.0
7923,-0.0
7924,-0.0
7925,-0.0
7926,-0.0
7927,-0.0
7928,-0.0
7929,-0.0
7930,-0.0
7931,-0.0
7932,-0.0
7933,-0.0
7934,-0.0
7935,-0.0
7936,-0.0
7937,-0.0
7938,-0.0
7939,-0.0
7940,-0.0
7941,-0.0
7942,46.185034841461636
7943,81.94494226651372
7944,149.72428243655455
7945,198.3326866940418
7946,253.10077559225607
7947,280.15381548259023
7948,297.92130076974877
7949,278.7958594846498
7950,156.91591198995835
7951,-0.0
7952,-0.0
7953,-0.0
7954,-0.0
7955,-0.0
7956,-0.0
7957,-0.0
7958,-0.0
7959,-0.0
7960,-0.0
7961,-0.0
7962,-0.0
7963,-0.0
7964,92.02105299206752
7965,152.54396751676634
7966,355.5829042071448
7967,522.0252877410343
7968,897.394047618008
7969,1399.5555390075
7970,1530.335094206821
7971,1371.014751904133
7972,1166.173235040008
7973,1161.232914198648
7974,1240.379071222387
7975,833.9031939566323
7976,463.1643292367078
7977,352.4572195186215
7978,252.3804927879627
7979,192.83908834922903
7980,179.2116942598696
7981,196.99273130457408
7982,341.0686376431281
7983,345.69228731709154
7984,692.4556353219705
7985,936.7871908603988
7986,855.3691866203336
7987,905.0275660976475
7988,1143.3733661042481
7989,1214.5556605849413
7990,1629.9945564763834
7991,1776.2947198747304
7992,1508.2255860748185
7993,964.4763917411301
7994,984.5670965665704
7995,1096.483570675502
7996,1393.3022690665357
7997,1433.901416636757
7998,1345.909281345558
7999,1379.2553059897903
8000,1300.0791009736483
8001,1225.671605319459
8002,1050.382019500625
8003,1012.761067569899
8004,844.6021683515921
8005,758.4790602311461
8006,593.7770285126153
8007,372.24353684580456
8008,169.44661897841397
8009,50.63998517453505
8010,-0.0
8011,-0.0
8012,-0.0
8013,-0.0
8014,-0.0
8015,-0.0
8016,-0.0
