id;from;to;voltage;reactance;resistance;circuits;pmax;;Resistance per phase [ohm/km];Reactance per phase [ohm/km];Length [kM]
80;474;295;380;7.10002;0.623941;1;1700;1700;0.029;0.33;21.5152
81;295;473;380;11.2874;0.991925;1;1700;1700;0.029;0.33;34.2043
82;378;180;380;20.8934;1.83609;1;1700;1700;0.029;0.33;63.3133
83;150;89;380;18.192;1.59869;1;1700;1700;0.029;0.33;55.1273
84;31;482;380;4.41092;0.387626;2;1700;3400;0.0145;0.165;13.3664
85;23;481;380;16.4125;1.44231;1;1700;1700;0.029;0.33;49.7347
86;481;295;380;12.1047;1.06375;1;1700;1700;0.029;0.33;36.681
87;295;22;380;19.1964;1.68696;1;1700;1700;0.029;0.33;58.171
88;0;20;220;13.77312;2.58246;2;490;980;0.0375;0.2;34.4328
89;1;112;380;19.70157;1.731348;3;1700;5100;0.00966667;0.11;59.7017
90;3;2;380;10.0845;0.886217;1;1700;1700;0.029;0.33;30.5592
91;4;15;380;7.11958;0.62566;2;1700;3400;0.0145;0.165;21.5745
92;5;6;220;8.2994;1.55614;1;490;490;0.075;0.4;20.7485
93;6;288;220;14.571;2.73206;1;490;490;0.075;0.4;36.4275
94;5;288;220;20.7948;3.89903;1;490;490;0.075;0.4;51.9871
95;7;10;220;13.47984;2.52746;2;490;980;0.0375;0.2;33.6996
96;7;193;380;12.5525;1.1031;1;1700;1700;0.029;0.33;38.0379
97;8;2;220;11.34948;2.128026;6;490;2550;0.0125;0.0666667;28.3737
98;9;24;220;69.0924;12.95481;3;490;1275;0.025;0.133333;172.731
99;9;288;220;6.22089;1.166415;3;490;1275;0.025;0.133333;15.5522
100;10;193;220;1.75032;0.328186;2;490;980;0.0375;0.2;4.3758
101;7;240;220;10.889;2.04168;2;490;980;0.0375;0.2;27.2225
102;11;223;380;17.86834;1.570248;2;1700;3400;0.0145;0.165;54.1465
103;11;12;220;1.12333;0.210624;1;490;490;0.075;0.4;2.80832
104;12;230;220;24.3362;4.56304;2;490;980;0.0375;0.2;60.8405
105;13;246;380;2.57084;0.225922;1;1700;1700;0.029;0.33;7.79043
106;12;227;220;13.7476;2.57768;1;490;490;0.075;0.4;34.3691
107;14;12;220;6.51436;1.22144;1;490;490;0.075;0.4;16.2859
108;4;289;380;7.67864;0.674789;1;1700;1700;0.029;0.33;23.2686
109;15;290;380;8.31302;0.73054;2;1700;3400;0.0145;0.165;25.191
110;16;13;220;17.35704;3.25444;2;490;850;0.0375;0.2;43.3926
111;18;291;220;20.62704;3.86757;3;490;1275;0.025;0.133333;51.5676
112;20;229;220;22.9989;4.31229;1;490;490;0.075;0.4;57.4972
113;21;5;220;37.6725;7.06362;3;490;1275;0.025;0.133333;94.1816
114;5;293;220;7.34187;1.376601;3;490;1275;0.025;0.133333;18.3547
115;21;293;220;44.85198;8.40972;6;490;2550;0.0125;0.0666667;112.13
116;22;294;220;70.4868;13.21629;3;490;1275;0.025;0.133333;176.217
117;24;23;220;41.7015;7.81905;3;490;1275;0.025;0.133333;104.254
118;5;296;220;13.86392;2.59948;2;490;980;0.0375;0.2;34.6598
119;25;42;220;12.1035;2.26941;1;490;490;0.075;0.4;30.2588
120;25;26;220;2.79234;0.523564;1;490;490;0.075;0.4;6.98085
121;26;288;380;4.14232;0.364022;2;1700;3400;0.0145;0.165;12.5525
122;27;297;220;2.29449;0.430216;1;490;425;0.075;0.4;5.73622
123;28;298;220;1.492908;0.27992;2;490;850;0.0375;0.2;3.73227
124;17;291;220;18.31809;3.43464;3;490;1275;0.025;0.133333;45.7952
125;17;166;380;12.41576;1.091082;2;1700;3400;0.0145;0.165;37.6235
126;29;299;380;36.0432;3.16744;2;1700;3400;0.0145;0.165;109.222
127;29;200;220;11.42268;2.141751;3;490;1275;0.025;0.133333;28.5567
128;29;281;220;17.8914;3.35464;1;490;490;0.075;0.4;44.7285
129;30;29;220;3.9907;0.748256;2;490;980;0.0375;0.2;9.97674
130;30;31;220;7.145;1.33969;1;490;490;0.075;0.4;17.8625
131;31;29;220;10.9516;2.05343;1;490;490;0.075;0.4;27.3791
132;32;236;220;17.81308;3.33996;2;490;850;0.0375;0.2;44.5327
133;33;301;220;11.6232;3.40524;1;245;245;0.15;0.512;22.7016
134;16;33;220;30.1528;5.65366;2;490;850;0.0375;0.2;75.3821
135;34;29;220;14.6572;2.74823;1;490;490;0.075;0.4;36.643
136;7;302;380;4.71652;0.414482;2;1700;3400;0.0145;0.165;14.2925
137;32;303;220;4.4334;0.831262;2;490;850;0.0375;0.2;11.0835
138;33;303;220;6.7892;1.272974;2;490;850;0.0375;0.2;16.973
139;35;119;380;15.0474;1.32234;1;1700;1700;0.029;0.33;45.5981
