id;from;to;voltage;reactance;resistance;circuits;pmax;;Resistance per phase [ohm/km];Reactance per phase [ohm/km];Length [kM]
354;149;313;380;9.77519;0.859032;1;1700;1700;0.029;0.33;29.6218
355;150;358;220;0.61624;0.115545;1;490;490;0.075;0.4;1.5406
356;120;359;220;1.57839;0.295949;1;490;490;0.075;0.4;3.94598
357;120;360;380;3.41883;0.300443;1;1700;1700;0.029;0.33;10.3601
358;19;361;220;0.30311;0.0888018;1;245;245;0.15;0.512;0.592012
359;21;160;220;6.77912;1.271086;2;490;980;0.0375;0.2;16.9478
360;97;343;220;23.7848;4.45966;1;490;490;0.075;0.4;59.4621
361;152;219;380;22.484;1.975862;2;1700;3400;0.0145;0.165;68.1332
362;152;153;220;15.6691;2.93796;1;490;490;0.075;0.4;39.1728
363;153;188;220;21.3332;3.99997;1;490;490;0.075;0.4;53.333
364;154;362;380;4.14602;0.364347;1;1700;1700;0.029;0.33;12.5637
365;142;233;220;12.17704;2.2832;2;490;980;0.0375;0.2;30.4426
366;156;157;220;5.8912;1.1046;4;490;1960;0.01875;0.1;14.728
367;157;363;220;3.91648;0.734339;1;490;490;0.075;0.4;9.79119
368;34;243;220;10.9602;2.05504;1;490;490;0.075;0.4;27.4006
369;158;157;220;5.70813;1.6723;1;245;245;0.15;0.512;11.1487
370;4;55;380;21.9707;1.93076;1;1700;1700;0.029;0.33;66.578
371;4;311;380;28.6443;2.51722;1;1700;1700;0.029;0.33;86.8008
372;159;364;380;12.6327;1.11014;1;1700;1700;0.029;0.33;38.2808
373;159;365;380;1.431618;0.1258089;3;1700;5100;0.00966667;0.11;4.33824
374;160;161;220;9.84332;1.84562;1;490;490;0.075;0.4;24.6083
375;21;161;380;13.21864;1.161638;2;1700;3530;0.0145;0.165;40.0565
376;161;163;220;62.004;11.62572;6;490;2550;0.0125;0.0666667;155.01
377;43;366;220;5.74288;1.07679;2;490;980;0.0375;0.2;14.3572
378;43;367;220;18.59946;3.487404;6;490;2550;0.0125;0.0666667;46.4987
379;109;140;220;0.48558;0.0910463;1;490;490;0.075;0.4;1.21395
380;2;368;220;4.94568;1.44893;1;245;245;0.15;0.512;9.65954
381;2;162;220;5.2292;0.980475;1;490;490;0.075;0.4;13.073
382;2;277;220;2.5693;0.481744;1;490;490;0.075;0.4;6.42325
383;162;276;220;10.1079;1.89523;1;490;490;0.075;0.4;25.2697
384;33;322;220;13.7028;2.56927;1;490;490;0.075;0.4;34.257
385;65;67;380;10.0166;0.880243;1;1700;1700;0.029;0.33;30.3532
386;73;65;220;4.73596;0.887992;2;490;850;0.0375;0.2;11.8399
387;37;163;220;45.4977;8.5308;3;490;1275;0.025;0.133333;113.744
388;163;219;380;22.4218;1.970404;2;1700;3400;0.0145;0.165;67.945
389;164;53;220;12.0235;2.25441;1;490;490;0.075;0.4;30.0588
390;2;275;380;2.94492;0.258796;1;1700;1700;0.029;0.33;8.92399
391;18;367;380;15.9059;1.39779;1;1700;1700;0.029;0.33;48.1998
392;2;290;380;26.0042;2.28522;2;1700;3400;0.0145;0.165;78.8008
393;165;283;380;14.30216;1.256858;2;1700;3400;0.0145;0.165;43.3399
394;166;165;380;9.3564;0.822228;2;1700;3400;0.0145;0.165;28.3527
395;167;369;380;25.1638;2.21138;2;1700;3400;0.0145;0.165;76.2542
396;166;362;380;21.7642;1.91261;2;1700;3400;0.0145;0.165;65.9521
397;168;370;220;0.0698916;0.01310468;2;490;850;0.0375;0.2;0.174729
398;169;370;220;4.68732;0.878871;3;490;1275;0.025;0.133333;11.7183
399;169;199;380;9.18288;0.80698;2;1700;3400;0.0145;0.165;27.8269
400;170;371;220;27.4786;5.15222;2;490;850;0.0375;0.2;68.6964
401;169;372;220;2.20042;0.412578;2;490;850;0.0375;0.2;5.50103
402;171;373;380;15.9653;1.40301;1;1700;1700;0.029;0.33;48.3796
403;172;153;380;4.40926;0.387481;1;1700;1700;0.029;0.33;13.3614
404;153;219;220;25.62846;4.80534;6;490;2550;0.0125;0.0666667;64.0712
405;7;174;380;15.25742;1.340804;2;1700;3400;0.0145;0.165;46.2346
406;173;374;380;6.4317;0.56521;1;1700;1700;0.029;0.33;19.49
407;174;173;380;11.0802;0.973713;1;1700;1700;0.029;0.33;33.5763
408;174;375;380;0.285238;0.0250664;2;1700;3400;0.0145;0.165;0.864358
409;174;374;380;5.34171;0.469423;1;1700;1700;0.029;0.33;16.187
410;144;133;220;38.3422;7.18916;1;490;490;0.075;0.4;95.8554
411;144;121;220;38.437;7.20696;2;490;850;0.0375;0.2;96.0927
412;175;134;220;8.94135;1.676505;3;490;1275;0.025;0.133333;22.3534
413;176;175;220;12.66795;2.375241;3;490;1275;0.025;0.133333;31.6699
414;131;29;380;52.5898;4.62153;1;1700;1700;0.029;0.33;159.363
415;152;376;220;10.54864;1.97787;2;490;980;0.0375;0.2;26.3716
416;177;364;220;20.4804;3.840072;6;490;2550;0.0125;0.0666667;51.201
417;152;178;220;29.39799;5.51211;3;490;1275;0.025;0.133333;73.495
418;178;377;220;16.62423;3.11706;3;490;1275;0.025;0.133333;41.5606
419;152;377;220;12.80028;2.400051;3;490;1275;0.025;0.133333;32.0007
420;181;43;220;20.97108;3.932076;6;490;2550;0.0125;0.0666667;52.4277
421;182;170;380;15.4266;1.35567;1;1700;1700;0.029;0.33;46.7473
422;181;182;380;12.0363;1.05774;1;1700;1700;0.029;0.33;36.4737
423;180;380;380;19.68078;1.729522;2;1700;3400;0.0145;0.165;59.6387
424;180;184;220;40.9308;7.67452;2;490;850;0.0375;0.2;102.327
425;35;36;220;10.98544;2.05976;2;490;850;0.0375;0.2;27.4636
426;35;381;220;18.8459;3.53361;1;490;490;0.075;0.4;47.1148
427;178;364;220;12.05668;2.26062;2;490;850;0.0375;0.2;30.1417
428;185;153;220;9.63984;1.80747;3;490;1470;0.025;0.133333;24.0996
429;186;153;220;9.89184;2.898;1;245;245;0.15;0.512;19.32
430;186;382;220;43.4472;8.14635;1;490;490;0.075;0.4;108.618
431;153;382;220;65.5017;19.1899;1;245;245;0.15;0.512;127.933
432;187;367;220;2.96667;0.556251;6;490;2550;0.0125;0.0666667;7.41668
433;152;383;220;5.30896;0.99543;2;490;980;0.0375;0.2;13.2724
434;188;384;220;11.0242;2.06704;2;490;980;0.0375;0.2;27.5605
435;18;382;220;22.409;4.2017;2;490;980;0.0375;0.2;56.0227
436;39;18;380;23.1814;2.03714;2;1700;3400;0.0145;0.165;70.2464
437;189;385;220;1.849374;0.346758;6;490;2550;0.0125;0.0666667;4.62344
438;190;27;380;2.07206;0.18209;1;1700;1700;0.029;0.33;6.27898
439;26;27;380;1.59984;0.140592;1;1700;1700;0.029;0.33;4.84799
440;190;385;380;1.37376;0.120724;1;1700;1700;0.029;0.33;4.1629
441;184;386;220;22.2993;4.18112;1;490;490;0.075;0.4;55.7483
442;191;387;220;9.01792;1.69086;1;490;490;0.075;0.4;22.5448
443;10;192;220;10.4163;1.95306;1;490;490;0.075;0.4;26.0408
444;192;388;220;15.288;2.86651;1;490;490;0.075;0.4;38.2201
445;193;388;220;26.223;4.91682;2;490;850;0.0375;0.2;65.5575
446;194;193;380;5.69148;0.50016;2;1700;3400;0.0145;0.165;17.2469
447;193;380;380;18.01701;1.583313;3;1700;5100;0.00966667;0.11;54.597
448;132;130;220;0.1322384;0.0247946;2;490;850;0.0375;0.2;0.330596
449;173;132;220;22.4639;4.21198;1;490;490;0.075;0.4;56.1598
450;483;195;220;25.3372;4.75072;2;490;980;0.0375;0.2;63.3429
451;195;243;220;18.61172;3.489696;4;490;1960;0.01875;0.1;46.5293
452;94;389;220;0.62882;0.1179038;2;490;980;0.0375;0.2;1.57205
453;68;390;220;1.440024;0.270004;2;490;980;0.0375;0.2;3.60006
454;198;189;380;0.184273;0.0161937;1;1700;1700;0.029;0.33;0.558404
455;199;391;220;17.4168;3.26565;3;490;1275;0.025;0.133333;43.542
456;200;281;220;7.08188;1.327852;2;490;850;0.0375;0.2;17.7047
457;201;391;220;6.33249;1.18734;3;490;1275;0.025;0.133333;15.8312
458;131;392;380;2.15991;0.18981;1;1700;1700;0.029;0.33;6.54517
459;16;393;220;11.4898;2.15434;2;490;850;0.0375;0.2;28.7245
460;33;393;220;21.793;4.08618;2;490;850;0.0375;0.2;54.4825
461;141;394;220;0.525004;0.0984382;2;490;980;0.0375;0.2;1.31251
462;141;395;220;0.1692276;0.0317302;2;490;980;0.0375;0.2;0.423069
463;141;396;220;0.371228;0.0696054;2;490;980;0.0375;0.2;0.928071
464;54;197;380;6.1709;0.542292;2;1700;3400;0.0145;0.165;18.6997
465;196;135;220;7.7184;1.4472;2;490;980;0.0375;0.2;19.296
466;184;397;220;12.8169;2.40317;1;490;490;0.075;0.4;32.0423
467;202;398;220;1.39573;0.261699;1;490;490;0.075;0.4;3.48932
468;30;399;220;0.96408;0.180765;1;490;490;0.075;0.4;2.4102
469;115;400;380;1.53029;0.13448;1;1700;1700;0.029;0.33;4.63725
470;203;204;220;5.68881;1.06665;3;490;1275;0.025;0.133333;14.222
471;204;401;220;4.16268;0.780501;3;490;1275;0.025;0.133333;10.4067
472;8;28;220;9.8793;1.852374;6;490;2550;0.0125;0.0666667;24.6983
473;176;401;220;6.51396;1.221366;3;490;1275;0.025;0.133333;16.2849
474;205;276;220;8.71912;1.63483;1;490;490;0.075;0.4;21.7978
475;169;402;220;10.0254;1.87977;1;490;490;0.075;0.4;25.0636
476;206;170;220;0.863886;0.1619784;6;490;3040;0.0125;0.0666667;2.15971
477;206;403;220;2.01135;0.377128;1;490;490;0.075;0.4;5.02837
478;207;206;220;33.5177;6.28456;1;490;490;0.075;0.4;83.7942
479;167;208;220;6.2652;1.174725;3;490;1275;0.025;0.133333;15.663
480;167;170;220;35.4051;6.63846;3;490;1275;0.025;0.133333;88.5129
481;208;170;220;31.3918;5.88594;2;490;850;0.0375;0.2;78.4793
482;209;127;220;18.8136;5.5118;1;245;245;0.15;0.512;36.7453
483;210;40;380;9.7087;0.853188;2;1700;3400;0.0145;0.165;29.4203
484;210;404;220;4.29552;0.80541;1;490;490;0.075;0.4;10.7388
485;211;404;220;12.6441;3.70432;1;245;245;0.15;0.512;24.6955
486;210;211;220;11.39332;2.13624;2;490;980;0.0375;0.2;28.4833
487;212;211;220;3.85856;0.72348;2;490;980;0.0375;0.2;9.64641
488;213;208;220;16.33096;3.06206;2;490;980;0.0375;0.2;40.8274
489;181;405;380;22.7601;2.00013;1;1700;1700;0.029;0.33;68.9701
490;207;181;380;29.9273;2.62998;1;1700;1700;0.029;0.33;90.6889
491;207;405;380;7.28798;0.640459;1;1700;1700;0.029;0.33;22.0848
492;214;208;220;6.45604;1.21051;1;490;490;0.075;0.4;16.1401
493;207;213;220;40.5596;7.60492;1;490;490;0.075;0.4;101.399
494;82;406;220;0.178376;0.0334456;1;490;490;0.075;0.4;0.445941
495;215;134;220;14.3236;2.68568;2;490;850;0.0375;0.2;35.809
496;216;171;220;7.76652;1.456222;2;490;850;0.0375;0.2;19.4163
497;217;346;220;0.477012;0.0894398;2;490;850;0.0375;0.2;1.19253
498;218;167;380;5.65349;0.496822;1;1700;1700;0.029;0.33;17.1318
499;13;287;380;15.7345;1.38273;1;1700;1700;0.029;0.33;47.6803
500;45;163;380;11.9199;1.04751;1;1700;1700;0.029;0.33;36.1209
501;219;159;380;25.8675;2.27321;1;1700;1700;0.029;0.33;78.3865
502;45;219;380;30.8217;2.70857;1;1700;1700;0.029;0.33;93.399
503;220;199;220;3.671;0.688312;1;490;490;0.075;0.4;9.17749
504;210;221;220;0.876736;0.164388;2;490;980;0.0375;0.2;2.19184
505;221;211;220;12.1488;2.27789;1;490;490;0.075;0.4;30.3719
506;222;230;220;11.5427;3.38166;1;245;245;0.15;0.512;22.5444
507;46;222;220;5.2457;1.53682;1;245;245;0.15;0.512;10.2455
508;223;245;220;7.23252;1.3561;1;490;490;0.075;0.4;18.0813
509;54;347;220;21.8844;4.10332;1;490;490;0.075;0.4;54.7109
510;121;199;380;3.53067;0.310271;1;1700;1700;0.029;0.33;10.699
511;224;199;380;4.50876;0.396224;1;1700;1700;0.029;0.33;13.6629
512;224;176;380;8.14163;0.715476;1;1700;1700;0.029;0.33;24.6716
513;225;346;380;0.2708576;0.02380264;4;1700;6800;0.00725;0.0825;0.820781
514;210;407;220;13.4907;2.52951;1;490;490;0.075;0.4;33.7268
515;12;408;220;18.4343;3.45643;1;490;490;0.075;0.4;46.0857
516;226;281;220;3.28614;0.616151;1;490;490;0.075;0.4;8.21535
517;227;409;220;1.3494;0.253013;1;490;490;0.075;0.4;3.37351
518;16;227;220;3.46686;0.650038;2;490;980;0.0375;0.2;8.66717
519;227;228;220;2.00866;0.376624;1;490;490;0.075;0.4;5.02165
520;228;409;220;0.962808;0.180527;1;490;490;0.075;0.4;2.40702
521;229;276;220;6.95603;2.0379;1;245;245;0.15;0.512;13.586
522;230;151;220;21.6371;4.05695;1;490;490;0.075;0.4;54.0927
523;126;345;220;4.44964;0.834308;2;490;980;0.0375;0.2;11.1241
524;231;281;220;13.8617;2.59906;1;490;490;0.075;0.4;34.6542
525;232;281;220;1.185696;0.222318;2;490;980;0.0375;0.2;2.96424
526;233;283;220;14.88608;2.79114;2;490;980;0.0375;0.2;37.2152
527;131;410;220;0.726176;0.136158;4;490;1960;0.01875;0.1;1.81544
528;234;29;220;1.059124;0.1985858;2;490;980;0.0375;0.2;2.64781
529;210;87;380;7.18374;0.631298;1;1700;1700;0.029;0.33;21.7689
530;162;411;220;1.398248;0.262172;2;490;980;0.0375;0.2;3.49562
531;162;412;220;0.874644;0.1639958;2;490;980;0.0375;0.2;2.18661
532;235;301;220;14.7349;4.31686;1;245;245;0.15;0.512;28.7791
533;29;413;380;0.219728;0.0193094;1;1700;1700;0.029;0.33;0.665842
534;236;90;220;0.085218;0.01597838;2;490;850;0.0375;0.2;0.213045
535;89;322;220;0.0776516;0.01455968;2;490;980;0.0375;0.2;0.194129
536;149;362;380;10.3168;0.90663;1;1700;1700;0.029;0.33;31.2631
537;29;201;220;11.40495;2.13843;3;490;1275;0.025;0.133333;28.5124
538;14;227;220;7.24744;1.35889;1;490;490;0.075;0.4;18.1186
539;237;45;380;2.162619;0.1900482;3;1700;5100;0.00966667;0.11;6.55339
540;88;414;380;6.21152;0.545861;1;1700;1700;0.029;0.33;18.8228
541;238;414;380;1.15836;0.101796;1;1700;1700;0.029;0.33;3.51019
542;239;415;220;0.307808;0.057714;2;490;980;0.0375;0.2;0.769521
543;240;415;220;24.872;4.66352;2;490;980;0.0375;0.2;62.1802
544;42;416;220;12.1316;2.27467;1;490;490;0.075;0.4;30.329
545;25;416;220;0.0479536;0.0089913;1;490;490;0.075;0.4;0.119884
546;26;416;220;2.75448;0.516464;1;490;490;0.075;0.4;6.88619
547;131;417;380;18.3523;1.61278;1;1700;1700;0.029;0.33;55.6131
548;241;417;380;16.7543;1.47234;1;1700;1700;0.029;0.33;50.7705
549;242;417;380;4.98528;0.4381;1;1700;1700;0.029;0.33;15.1069
550;243;418;220;18.4002;3.45004;2;490;980;0.0375;0.2;46.0005
551;244;418;220;0.13071;0.0245082;2;490;980;0.0375;0.2;0.326775
552;29;418;220;7.34932;1.377998;2;490;980;0.0375;0.2;18.3733
553;12;419;220;14.5604;2.73008;1;490;490;0.075;0.4;36.4011
554;245;419;220;4.57232;0.85731;1;490;490;0.075;0.4;11.4308
555;246;419;220;3.08806;0.579011;1;490;490;0.075;0.4;7.72015
556;18;420;380;7.78932;0.684516;1;1700;1700;0.029;0.33;23.604
557;247;420;380;1.16633;0.102496;1;1700;1700;0.029;0.33;3.53434
558;43;420;380;14.7045;1.29221;1;1700;1700;0.029;0.33;44.5591
559;52;421;380;20.212;1.7762;1;1700;1700;0.029;0.33;61.2484
560;248;421;380;0.00811203;0.000712875;1;1700;1700;0.029;0.33;0.0245819
561;249;421;380;3.84104;0.337545;1;1700;1700;0.029;0.33;11.6395
562;202;422;220;18.916;5.54181;1;245;245;0.15;0.512;36.9454
563;157;422;220;18.6114;5.45256;1;245;245;0.15;0.512;36.3504
564;52;422;220;16.0448;4.70062;1;245;245;0.15;0.512;31.3375
565;250;423;220;21.0151;3.94033;1;490;490;0.075;0.4;52.5378
566;251;423;220;0.061126;0.0114611;1;490;490;0.075;0.4;0.152815
567;23;423;220;31.8363;5.9693;1;490;490;0.075;0.4;79.5907
568;74;424;380;7.25502;0.637562;1;1700;1700;0.029;0.33;21.9849
569;61;424;380;2.59289;0.22786;1;1700;1700;0.029;0.33;7.85725
570;92;424;380;4.57892;0.40239;1;1700;1700;0.029;0.33;13.8755
571;63;425;380;2.87199;0.252387;1;1700;1700;0.029;0.33;8.70299
572;252;425;380;10.3598;0.910403;1;1700;1700;0.029;0.33;31.3932
573;253;425;380;0.0784219;0.00689162;1;1700;1700;0.029;0.33;0.237642
574;254;426;380;0.136907;0.0120312;1;1700;1700;0.029;0.33;0.41487
575;92;426;380;4.46276;0.392182;1;1700;1700;0.029;0.33;13.5235
576;61;426;380;2.42084;0.212741;1;1700;1700;0.029;0.33;7.33588
577;88;427;380;17.66998;1.552816;2;1700;3400;0.0145;0.165;53.5454
578;135;427;380;17.29242;1.519638;2;1700;3400;0.0145;0.165;52.4013
579;255;427;380;0.085864;0.00754562;2;1700;3400;0.0145;0.165;0.260194
580;256;428;380;0.0950149;0.0083498;1;1700;1700;0.029;0.33;0.287924
581;68;428;380;8.32989;0.732021;1;1700;1700;0.029;0.33;25.2421
582;72;428;380;5.48153;0.48171;1;1700;1700;0.029;0.33;16.6107
583;257;429;380;3.43613;0.301963;1;1700;1700;0.029;0.33;10.4125
584;258;429;380;3.85028;0.338358;1;1700;1700;0.029;0.33;11.6675
585;102;429;380;5.3754;0.472384;1;1700;1700;0.029;0.33;16.2891
586;82;430;220;4.0946;0.767737;1;490;490;0.075;0.4;10.2365
587;78;430;220;3.49413;0.65515;1;490;490;0.075;0.4;8.73533
588;48;430;220;6.416;1.203;1;490;490;0.075;0.4;16.04
589;114;431;220;12.5854;2.35976;1;490;490;0.075;0.4;31.4635
590;259;431;220;3.94869;0.740379;1;490;490;0.075;0.4;9.87172
591;254;431;220;0.0790456;0.0148211;1;490;490;0.075;0.4;0.197614
592;59;432;220;1.45808;0.27339;1;490;490;0.075;0.4;3.6452
593;82;432;220;2.24069;0.42013;1;490;490;0.075;0.4;5.60173
594;260;432;220;0.65144;0.122145;1;490;490;0.075;0.4;1.6286
595;109;433;220;3.59615;1.05356;1;245;245;0.15;0.512;7.02373
596;78;433;220;2.81653;0.528099;1;490;490;0.075;0.4;7.04132
597;261;433;220;0.650968;0.122056;1;490;490;0.075;0.4;1.62742
598;114;433;220;13.3724;3.9177;1;245;245;0.15;0.512;26.118
599;102;434;220;9.3526;2.74002;1;245;245;0.15;0.512;18.2668
600;262;434;220;8.22144;2.40863;1;245;245;0.15;0.512;16.0575
601;263;434;220;1.48751;0.435794;1;245;245;0.15;0.512;2.90529
602;65;435;220;2.47766;0.46456;1;490;490;0.075;0.4;6.19414
603;264;435;220;1.06631;0.199933;1;490;490;0.075;0.4;2.66578
604;110;435;220;6.45596;1.21049;1;490;490;0.075;0.4;16.1399
605;265;436;220;0.041484;0.00777825;1;490;490;0.075;0.4;0.10371
606;266;436;220;3.73478;0.700271;1;490;490;0.075;0.4;9.33695
607;83;436;220;3.05496;0.572806;1;490;490;0.075;0.4;7.63741
608;58;437;220;5.37805;1.5756;1;245;245;0.15;0.512;10.504
609;267;437;220;2.60191;0.762278;1;245;245;0.15;0.512;5.08185
610;102;437;220;4.58973;1.34465;1;245;245;0.15;0.512;8.96431
611;62;438;380;4.50836;0.396189;1;1700;1700;0.029;0.33;13.6617
612;50;438;380;10.2792;0.903327;1;1700;1700;0.029;0.33;31.1492
613;114;438;380;3.8084;0.334677;1;1700;1700;0.029;0.33;11.5406
614;264;439;220;1.06282;0.199278;1;490;490;0.075;0.4;2.65704
615;110;439;220;6.46684;1.21253;1;490;490;0.075;0.4;16.1671
616;65;439;220;2.46625;0.462422;1;490;490;0.075;0.4;6.16563
617;268;440;380;4.40619;0.387211;1;1700;1700;0.029;0.33;13.3521
618;62;440;380;4.46025;0.391961;1;1700;1700;0.029;0.33;13.5159
619;114;440;380;4.06639;0.35735;1;1700;1700;0.029;0.33;12.3224
620;269;441;220;0.337974;0.06337;1;490;490;0.075;0.4;0.844934
621;235;441;220;12.2731;2.30121;1;490;490;0.075;0.4;30.6828
622;20;441;220;13.501;2.53145;1;490;490;0.075;0.4;33.7526
623;156;442;220;13.6383;3.99559;1;245;245;0.15;0.512;26.6373
624;270;442;220;0.608323;0.178219;1;245;245;0.15;0.512;1.18813
625;87;442;220;8.22948;2.41098;1;245;245;0.15;0.512;16.0732
626;271;443;380;1.17078;0.102887;1;1700;1700;0.029;0.33;3.54783
627;62;443;380;0.360248;0.0316581;1;1700;1700;0.029;0.33;1.09166
628;272;443;380;0.115651;0.0101633;1;1700;1700;0.029;0.33;0.350457
629;128;444;220;6.12424;1.79421;1;245;245;0.15;0.512;11.9614
630;273;444;220;1.96072;0.367635;1;490;490;0.075;0.4;4.9018
631;274;444;220;11.1031;2.08183;1;490;490;0.075;0.4;27.7577
632;229;444;220;27.4934;8.05471;1;245;245;0.15;0.512;53.6981
633;275;445;380;20.9231;1.83869;1;1700;1700;0.029;0.33;63.4032
634;1;445;380;0.542124;0.0476412;1;1700;1700;0.029;0.33;1.6428
635;116;445;380;0.267778;0.023532;1;1700;1700;0.029;0.33;0.811447
636;276;446;220;9.56524;1.79348;1;490;490;0.075;0.4;23.9131
637;277;446;220;3.23597;0.606745;1;490;490;0.075;0.4;8.08993
638;162;446;220;0.544548;0.102103;1;490;490;0.075;0.4;1.36137
639;173;447;380;15.4742;1.35985;1;1700;1700;0.029;0.33;46.8915
640;278;447;380;0.0249436;0.00219202;1;1700;1700;0.029;0.33;0.0755868
641;139;447;380;8.99296;0.790291;1;1700;1700;0.029;0.33;27.2514
642;279;448;220;13.5223;2.53543;1;490;490;0.075;0.4;33.8058
643;173;448;220;11.1349;2.08779;1;490;490;0.075;0.4;27.8372
644;280;448;220;0.0728856;0.0136661;1;490;490;0.075;0.4;0.182214
645;231;449;220;12.24872;2.29664;2;490;850;0.0375;0.2;30.6218
646;281;449;220;2.5076;0.470176;2;490;850;0.0375;0.2;6.26901
647;226;449;220;0.841108;0.1577078;2;490;850;0.0375;0.2;2.10277
648;282;450;220;0.1469396;0.0275512;2;490;850;0.0375;0.2;0.367349
649;1;450;220;10.54624;1.97742;2;490;850;0.0375;0.2;26.3656
650;283;450;220;8.67068;1.625752;2;490;850;0.0375;0.2;21.6767
651;134;451;220;14.35112;2.69084;2;490;850;0.0375;0.2;35.8778
652;216;451;220;9.24984;1.734346;2;490;850;0.0375;0.2;23.1246
653;215;451;220;0.082942;0.01555162;2;490;850;0.0375;0.2;0.207355
654;214;452;220;6.91797;1.297116;3;490;1470;0.025;0.133333;17.2949
655;284;452;220;0.2705211;0.0507228;3;490;1470;0.025;0.133333;0.676303
656;285;452;220;3.95265;0.74112;3;490;1470;0.025;0.133333;9.88159
657;151;453;380;0.348982;0.0306681;1;1700;1700;0.029;0.33;1.05752
658;286;453;380;5.56519;0.489062;1;1700;1700;0.029;0.33;16.8642
659;287;453;380;17.9457;1.57705;1;1700;1700;0.029;0.33;54.3809
660;454;292;220;0.929768;0.1743316;2;490;980;0.0375;0.2;2.32442
661;29;300;220;13.92968;2.61182;2;490;980;0.0375;0.2;34.8242
662;19;454;220;2.23984;0.419972;2;490;980;0.0375;0.2;5.59962
