node;solar_node_share
0;0.0020758759583337674
1;0.000870416175427493
2;0.0004659527867079741
3;0.0009202444043212993
4;0.0016104018561137587
5;0.00407372433609492
6;0.0013967341306718927
7;0.004751289745312813
8;0.001763426114935271
9;0.0007579439597924973
10;0.0011645478701381806
11;0.0003373888723119636
12;0.0005752898835278353
13;0.00022971727018236137
14;0.0009830689778961967
15;0.0010347520813659558
16;0.0011083767564877697
17;0.003291885988618623
18;0.0038615717724847934
19;0.00014623773254267798
20;0.0008414961082242621
21;0.00288309141583601
22;0.00422917584978272
23;0.0007519958648972038
24;0.0015241893069909047
25;0.0008248842398478338
26;0.00013974361718839315
27;0.0007172460970019776
28;0.0018762414336466154
29;0.00044769043043778816
30;0.0007406480727413589
31;0.0016359518474925595
32;0.0016211191200626693
33;0.00033574072305797575
34;0.0020803161624395137
35;0.0015351414815162642
36;0.00307070239426165
37;0.015008634770120741
38;0.006231354794242155
39;0.006008045061164184
40;0.002905119850130062
41;0.0038627336013219707
42;0.002166410599250804
43;0.002679660722181784
44;0.005337503385796378
45;0.0049053368733795386
46;0.0025290293701671477
47;0.006593437885360202
48;0.0028814024600930925
49;0.00015649173200328685
50;0.0012972772787508543
51;0.0
52;0.0002733729036527683
53;0.0022095475562002717
54;0.002864139803860935
55;0.0037290777314423697
56;0.0002557434049646412
57;0.00019414190044637618
58;0.0034133354794123986
59;0.000163611585360148
60;0.00016723514030285316
61;0.0002978172380803843
62;0.0008669159768040128
63;0.00021332587739335474
64;0.00048384862774045276
65;0.0005444337552830374
66;0.0003402287472295378
67;0.0002552965410904679
68;0.0004171784667175512
69;0.0005908645502067466
70;0.0011187706973300581
71;0.00014043566004778987
72;0.0002626907696941383
73;0.00037006769930275304
74;0.0008385309419751748
75;0.004855627843641598
76;0.0004795148095063929
77;6.072721056828477e-05
78;0.00029410528784992593
79;0.0002566333186303009
80;0.00018220561932213888
81;0.0010178260692265254
82;0.00011107422251501676
83;0.0016380531097362745
84;0.0008638532544309034
85;0.0004858648100102724
86;0.00047121676637607463
87;0.0034692807432193514
88;0.000849030164986176
89;0.0015337516719058687
90;0.0013304364482978723
91;0.0002879553303399354
92;3.117654231845749e-05
93;0.0011348579083828077
94;0.0004937192459114521
95;0.0004008407840004781
96;0.0003896994785363201
97;0.0026097571021617035
98;0.0007736460055993042
99;0.003954849178994503
100;0.006387202962260069
101;0.0009116161794830952
102;0.0004519987910439525
103;4.861942650523593e-05
104;0.0001699881674569739
105;0.0030404804070378044
106;0.00017714902812327902
107;5.6973535121109416e-05
108;0.0005492908516328186
109;0.0
110;0.0004589879392558163
111;4.380347699269811e-05
112;0.0009567562587367217
113;0.0017800455829436509
114;0.0
115;0.0012331563025452348
116;8.724875305664368e-05
117;0.0017372754868791229
118;0.00156790185435535
