node;longitude;latitude;node_name;country
116;9,409520327;52,03431667;Kernkraftwerk Grohnde;DE
117;6,813684315;49,72483407;Station Osburg;DE
118;8,588690496;49,81551406;Umspannanlage Pfungstadt;DE
119;8,419371059;49,63373568;Station Bürstadt;DE
120;7,44948529;50,40252766;Station Weißenthurm;DE
121;9,190787437;48,91441687;Umspannstation Hoheneck Amprion;DE
122;12,13206997;54,14245988;Kraftwerk Rostock;DE
123;8,571258828;52,10536496;Eickum;DE
124;7,235793445;49,36939236;Mittelbexbach;DE
125;8,408269736;49,52856892;BASF;DE
126;8,35233388;49,42127434;Netzleitstelle Mutterstadt;DE
127;7,729201979;49,48264743;Otterbach;DE
128;9,797336027;52,00083925;Godenau;DE
129;8,627161258;49,54359527;Umspannwerk Weinheim;DE
130;10,08215733;48,26609016;Vöhringen Amprion;DE
131;7,958054023;47,59547226;Lastverteilung/Schaltanlage Kühmoos;DE
132;10,08375127;48,26886752;Vöhringen LEW;DE
133;9,196756526;48,91296344;Umspannwerk Hoheneck EnBW;DE
134;9,885515098;48,30407436;Umspannwerk Dellmensingen;DE
135;6,47473977;49,9224693;Station Niederstedem;DE
136;6,620535568;49,74893867;Station Trier;DE
137;8,471371633;50,09720774;Umspannwerk Kriftel;DE
138;8,98953615;50,06025506;Karlstein;DE
139;10,36338423;47,73833681;Schaltanlage Leupolz;DE
140;7,461500259;51,61461431;Trianel Kraftwerk Lünen;DE
141;6,755523406;49,36486959;Dieffeln;DE
142;9,882804298;51,5155075;Umspannwerk Rosdorf;DE
143;8,785793025;48,5837674;EnBW Umspannwerk Oberjettingen;DE
144;9,425512386;48,0643508;Umspannwerk Herbertingen;DE
145;6,772523094;51,14710549;Station Norf;DE
146;6,709673695;51,09094074;Station Gohrpunkt;DE
147;8,624800528;51,42788838;Station Nehden;DE
148;7,985067458;50,84222544;Station Eiserfeld;DE
149;8,284861779;50,75907352;Dillenburg;DE
150;7,224238427;53,34992715;Emden-Borßum;DE
151;9,318195236;54,71604941;Flensburg;DE
152;12,81390991;50,85791851;Umspannwerk Röhrsdorf;DE
153;12,5182221;51,15707259;Eula;DE
154;8,480095235;50,59092043;Umspannwerk Aßlar;DE
155;8,081626706;52,85863748;Cloppenburg 220 kV;DE
156;8,104959574;52,26426137;Station Lüstringen;DE
157;7,889576712;52,27739676;Station Westerkappeln;DE
158;7,725706348;52,2771949;Station Ibbenbüren;DE
159;14,50810918;51,41371038;Umspannwerk Bärwalde;DE
160;11,56150747;52,12389245;Magdeburg (50Hertz);DE
161;11,6441811;51,90851287;Umspannwerk Förderstedt;DE
162;10,36923005;52,16709243;Salzgitter-Hallendorf;DE
163;13,90243469;51,87472352;Umspannwerk Ragow;DE
164;8,403141436;52,60964401;Station Sankt Hülfe;DE
165;9,514240091;51,25903558;Umspannwerk Bergshausen;DE
166;9,25938382;51,06036685;Umspannwerk Borken;DE
167;8,958708562;50,08260781;Umspannwerk Großkrotzenburg;DE
168;9,177459676;49,03780985;Umrichterwerk Neckarwestheim;DE
169;9,15135395;49,14338341;380-kV-Umspannwerk Großgartach;DE
170;10,187834;49,98121904;Grafenrheinfeld;DE
171;10,11748669;48,89710534;Umspannwerk Goldshöfe;DE
172;12,33742291;51,19696836;Pulgar;DE
173;10,84086956;48,23803101;Umspannwerk Oberottmarshausen;DE
174;10,86756588;48,53946909;Station Meitingen;DE
175;9,704231499;48,46506373;EnBW Umspannwerk Laichingen;DE
176;9,400631395;48,66694244;EnBW Umspannwerk Wendlingen;DE
177;14,94649729;51,06258622;Umspannwerk Hagenwerder;DE
178;13,84126808;50,99017594;Umspannwerk DD-Süd;DE
179;12,22083536;48,58573299;Umspannwerk Altheim;DE
180;13,10343464;48,66679296;Umspannwerk Pleinting;DE
181;11,1937278;50,16221444;Umspannwerk Redwitz;DE
182;10,83601575;49,92806739;Umspannwerk Oberhaid;DE
183;12,11476441;49,63115505;Umspannwerk Etzenricht;DE
184;12,08225445;49,29744777;Schwandorf;DE
185;12,46964401;51,37166295;Umspannwerk Taucha;DE
186;12,24882391;51,19788243;Großdalzig;DE
187;11,00491691;50,50741497;Pumpspeicherwerk Goldisthal;DE
188;12,04498252;50,78125673;Umspannwerk Weida;DE
189;13,24902837;52,53162389;Umspannwerk Reuter;DE
190;13,36865846;52,50314221;Berlin/Mitte;DE
191;11,79241384;48,83822402;Umspannwerk Sittling;DE
192;11,80760564;48,4554268;Zolling - Irsching;DE
193;11,86815629;48,20680292;Umspannwerk Ottenhofen;DE
194;11,63931211;48,17878341;Föhring;DE
195;7,751862498;48,09640572;220-kV-Umspannwerk Eichstetten;DE
196;6,211020315;49,95862575;SA Bauler;DE
197;6,773207838;49,29107421;Umspannanlage Ensdorf;DE
198;13,242849;52,53495399;Heizkraftwerk Reuter West;DE
199;9,045434968;48,90296201;380kV-Umspannwerk Pulverdingen;DE
200;8,438467512;49,25245973;Kernkraftwerk Philippsburg;DE
201;8,441315485;49,25140265;Philippsburg 380 kV;DE
202;7,607116122;51,8986046;Amelsbüren;DE
203;9,562823374;48,70148982;EnBW Umspannwerk Bünzwangen;DE
204;9,370845416;48,71912333;EnBW Umspannwerk Altbach 1;DE
205;9,821583802;52,42485525;Lahe;DE
