;load_share
0;0.004782100311701915
1;0.0012093157854680312
2;0.00045289584832048854
3;0.002532424969168352
4;0.0015495406067317008
5;0.003512218113104446
6;0.0018098064197113507
7;0.0019200028620586927
8;0.004418255257982442
9;0.0007623984644930034
10;0.0014563981410612402
11;0.0013930357402975927
12;0.001114811107308482
13;0.00011330440669544807
14;0.04234826467271381
15;0.0017027342683466973
16;0.0013522407399481644
17;0.0017712127802223965
18;0.0031631891000312856
19;0.0009323122898875861
20;0.0002693935880367213
21;0.00071072534559324
22;0.0007985775521491098
23;0.00016558914469227284
24;0.00019400888624312805
25;0.001296602130729184
26;0.0
27;0.0
28;0.0005533948052821886
29;0.000426411527177876
30;0.0010196960081184558
31;0.0030285242990922496
32;0.000710267736235275
33;0.0002999026287147462
34;0.002244159800357662
35;0.004050750548144563
36;0.01327013373875781
37;0.0028913289274054947
38;0.0008748969224838711
39;0.0038977476265257016
40;0.0010298972728534528
41;0.001563779324082013
42;0.0017605597939429271
43;0.000463788456328508
44;0.000407818943303338
45;0.001357974182151594
46;0.00041013672265419925
47;0.003059377653072681
48;0.001491319675139045
49;0.0
50;0.0008259326480781711
51;0.0
52;0.00016481331439267128
53;0.0008268417447771135
54;0.004327530794596875
55;0.0018078739063891614
56;0.0
57;0.0008014311619222861
58;0.0015626007702515543
59;0.0
60;0.0
61;0.001509263301960601
62;0.0009109406479252136
63;0.0026869718060333106
64;0.0015259347732698768
65;0.0010865506401615656
66;0.0003003024153441967
67;0.0001878317733289074
68;0.0007278746215374391
69;0.0003699439683868645
70;0.0014290592001780671
71;0.0007976781431167695
72;0.0009133215280111298
73;0.0007455231507226184
74;0.001271986133130459
75;0.0030800354305472303
76;0.0011832021330936587
77;0.0
78;0.00024731750775300863
79;0.0008830734254470778
80;0.0005020527770358107
81;0.002911757548105726
82;0.004809549767186104
83;0.0045130296309388454
84;0.005624389396422663
85;0.003356980535684498
86;0.019080190140911734
87;0.003910119301491377
88;0.0016290262976657232
89;0.0036824927771877953
90;0.0021281755300142377
91;0.0
92;0.0
93;0.0012967427960719677
94;0.0008603711534912741
95;0.0
96;0.0003252936371814017
