node;wind_node_share
0;0.0036241344742508077
1;0.0012558665204748757
2;0.0010480857654971882
3;0.0022256986992487625
4;0.002422596492921524
5;0.008619029208849181
6;0.002970428102010949
7;0.0008146477841966381
8;0.0022582985027627266
9;0.0015450581915590466
10;1.023015602015067e-08
11;2.0460312040301341e-07
12;0.0013999824018588322
13;0.0018082823781218327
14;0.0001596942559334791
15;0.003933808635961489
16;0.006498411817215596
17;0.0034097390668993157
18;0.005945042857138022
19;0.00016368249632241075
20;0.002677538735154035
21;0.0038974848405570026
22;0.01235231617615938
23;0.002305877166941961
24;0.0033094554725187422
25;0.0002046031204030134
26;0.0
27;7.786651434648002e-08
28;0.004422598749071337
29;6.138093612090403e-05
30;1.5345234030226008e-08
31;0.00028450230964982966
32;0.004997082471038554
33;0.001442363945159761
34;0.000279874562368078
35;0.00010352917892392478
36;0.0015253749269011324
37;0.012350179848196556
38;0.020365003121251796
39;0.009425501880153744
40;0.0009508999584704015
41;0.006039801434068798
42;0.0024096686990051287
43;0.0007669036460505951
44;0.003012780947934373
45;0.0055768619635928095
46;0.0002765415775367129
47;0.008129284105421757
48;0.0030477167333388434
49;0.0
50;0.0012436950944028503
51;0.0
52;0.00041452592193650517
53;0.002414806306673765
54;0.0023380192209753446
55;0.004022939768026517
56;1.6368249632241073e-05
57;0.0
58;0.00208057223445592
59;7.601005922971948e-05
60;0.0
61;1.6368249632241073e-06
62;0.0017565402950031146
63;0.0
64;0.003653451982212875
65;0.0001209312924143627
66;0.0006056252363929197
67;0.00035169342886465964
68;3.0155735180088528e-05
69;0.0017977969868680774
70;0.0005415612346274205
71;0.00011069028813803025
72;0.0
73;0.00024060309504344128
74;0.0006810370360985806
75;0.0036086612867277574
76;0.0003314838559133092
77;0.0
78;0.00013650447044996533
79;0.0
80;0.0
81;0.00021476943885414225
82;0.0
83;1.2310969754649318e-05
84;0.00048245415791030565
85;1.2536618145584129e-05
86;0.0
87;0.0012404552143501304
88;0.0017608056638287364
89;0.0020699682763919984
90;0.008879725510202524
91;0.0
92;0.0
93;0.00011826060359294175
94;6.138093612090403e-05
95;0.0002659840565239174
96;4.092062408060268e-06
97;0.0036899864221969984
98;0.0006786427702326351
99;0.013264019163155486
100;0.009570732194263422
101;0.004283054619618841
102;0.0001452682154861395
103;0.0
104;7.16110921410547e-07
105;6.528786203714791e-05
106;0.0
107;6.138093612090403e-05
108;0.00028746738416623384
109;0.0
110;8.552410432845961e-05
111;0.0
112;0.0006240395172291909
113;0.0028501852383749793
114;0.0
115;0.002538537712582558
116;0.0012030663479697188
117;0.0028175177700510688
118;0.00012071584103777791
119;0.0018060317437973994
120;0.00228791902378383
121;8.184124816120538e-05
122;0.0028376499761642994
123;0.0010131537316116419
124;0.006841449313143587
125;0.00039819859292834466
126;0.0004744756041416247
127;0.005671365152898815
128;0.00043580464645841857
129;0.0
130;0.0
131;2.046031204030134e-08
132;2.0460312040301342e-10
133;0.0
134;0.0005078119049709027
135;0.0018690030547228156
136;0.0026357999949489
137;0.00034373324227706254
138;0.0005191804180226465
139;0.0006706679545596764
140;0.00028401982158744304
141;0.0
142;0.0023233587280148014
143;0.000660305420320625
144;0.00019864101968092543
145;9.411743538538617e-05
146;0.0
147;0.011050535779624485
148;0.0006143208690100477
149;0.003002657296707813
150;0.004846567712836085
151;0.00716683603569427
152;0.002224740379177151
153;0.0012338718224517574
154;0.0011946682786116612
155;0.0073502301275445575
156;0.0026006942079440675
157;0.0009298925720012953
