node,longitude,latitude,node_name,country,RDcost
87,"8,364229531","51,92712049",Station Gütersloh,DE,57.91668709369028
88,"6,456552466","50,87133804",Station Oberzier,DE,10798.571239282035
89,"8,054087354","53,33230269",Conneforde,DE,899.9938697591427
90,"8,477910636","53,42848547",Kernkraftwerk Unterweser,DE,10110.765962893844
91,"6,851531138","50,98417047",Bocklemünd,DE,4063.130313359382
92,"7,353111869","51,5758105",Station Mengede,DE,0.0
93,"7,617020995","51,63713376",Kraftwerk Bergkamen,DE,19.207354295417982
94,"7,522280101","51,53219806",Station Wambel,DE,12.743817525512755
95,"6,90660779","51,56524245",Station Nordlicht,DE,0.0
96,"6,868044963","51,37447478",Station Selbeck,DE,1.2045623384827306
97,"13,0786421","54,28484617",Umspannwerk Lüdershagen,DE,352.43548609336057
98,"8,020290338","50,92361689",Setzer Wiese,DE,580.7769242920128
99,"13,95700555","53,25217163",Bertikow,DE,716949.3248864918
100,"14,27083467","53,09628655",Vierraden,DE,570215.9428021861
101,"9,908847528","53,48804664",Umspannwerk Hamburg/Süd,DE,379353.7928106094
102,"6,617381091","51,47579096",Station Utfort,DE,3.8959679717818245
103,"6,723767145","51,35565438",Station Mündelheim,DE,0.0
104,"6,656735195","51,37952363",Uerdingen,DE,331.0
105,"8,616647673","48,06595379",Umspannwerk Trossingen,DE,4226.070783769701
106,"6,715252597","51,52679087",Station Walsum,DE,2.012709627598887
107,"6,68934277","51,57642289",Station Zensenbusch,DE,0.0
108,"6,614278555","51,6186788",Spellen,DE,2.238053565640361
109,"7,445069304","51,61850009",Station Elmenhorst,DE,0.0
110,"6,80461158","50,9662453",Station Brauweiler,DE,53314.974279516806
111,"6,73212495","51,45944374",Station Ruhrort,DE,1889.330477787786
112,"9,125265703","52,53826409",Landesbergen,DE,8.600634984930739
113,"7,320892575","52,47145723",Kernkraftwerk Emsland,DE,31.40073004850742
114,"7,708318489","51,67620331",Station Gersteinwerk,DE,0.0
115,"8,939692527","52,40303324",Schaltanlage Ovenstädt,DE,4.534448996931091
116,"9,409520327","52,03431667",Kernkraftwerk Grohnde,DE,6.955100060595569
117,"6,813684315","49,72483407",Station Osburg,DE,7886.875724985923
118,"8,588690496","49,81551406",Umspannanlage Pfungstadt,DE,900001.6337913151
119,"8,419371059","49,63373568",Station Bürstadt,DE,93839.7128411457
120,"7,44948529","50,40252766",Station Weißenthurm,DE,11270.12368643199
121,"9,190787437","48,91441687",Umspannstation Hoheneck Amprion,DE,1598.9231732933183
122,"12,13206997","54,14245988",Kraftwerk Rostock,DE,63532.94405500241
123,"8,571258828","52,10536496",Eickum,DE,1052.2838219294788
124,"7,235793445","49,36939236",Mittelbexbach,DE,39806.12536762001
125,"8,408269736","49,52856892",BASF,DE,1.4138666994380066e6
126,"8,35233388","49,42127434",Netzleitstelle Mutterstadt,DE,7721.58077006605
127,"7,729201979","49,48264743",Otterbach,DE,4715.33744011759
128,"9,797336027","52,00083925",Godenau,DE,227878.33226779834
129,"8,627161258","49,54359527",Umspannwerk Weinheim,DE,123203.81688121773
130,"10,08215733","48,26609016",Vöhringen Amprion,DE,7822.349020607097
131,"7,958054023","47,59547226",Lastverteilung/Schaltanlage Kühmoos,DE,677.2540245161214
132,"10,08375127","48,26886752",Vöhringen LEW,DE,5552.876670687135
133,"9,196756526","48,91296344",Umspannwerk Hoheneck EnBW,DE,47713.480845051716
134,"9,885515098","48,30407436",Umspannwerk Dellmensingen,DE,30833.85633921655
135,"6,47473977","49,9224693",Station Niederstedem,DE,3555.977085995406
136,"6,620535568","49,74893867",Station Trier,DE,18178.731022366985
137,"8,471371633","50,09720774",Umspannwerk Kriftel,DE,117932.6913565322
138,"8,98953615","50,06025506",Karlstein,DE,333.7210719293106
139,"10,36338423","47,73833681",Schaltanlage Leupolz,DE,36732.234740358836
140,"7,461500259","51,61461431",Trianel Kraftwerk Lünen,DE,179517.94826157752
141,"6,755523406","49,36486959",Dieffeln,DE,0.0
142,"9,882804298","51,5155075",Umspannwerk Rosdorf,DE,11769.424884509473
143,"8,785793025","48,5837674",EnBW Umspannwerk Oberjettingen,DE,0.0
144,"9,425512386","48,0643508",Umspannwerk Herbertingen,DE,7868.218933150638
145,"6,772523094","51,14710549",Station Norf,DE,8.084909103358434
146,"6,709673695","51,09094074",Station Gohrpunkt,DE,0.0
147,"8,624800528","51,42788838",Station Nehden,DE,47.053528644015614
148,"7,985067458","50,84222544",Station Eiserfeld,DE,0.0
149,"8,284861779","50,75907352",Dillenburg,DE,46.96981375816722
150,"7,224238427","53,34992715",Emden-Borßum,DE,187.97091250589384
151,"9,318195236","54,71604941",Flensburg,DE,1707.057671150857
152,"12,81390991","50,85791851",Umspannwerk Röhrsdorf,DE,297929.4984384434
153,"12,5182221","51,15707259",Eula,DE,710.1547393872557
154,"8,480095235","50,59092043",Umspannwerk Aßlar,DE,291.8868394479555
155,"8,081626706","52,85863748",Cloppenburg 220 kV,DE,512.9743970361259
156,"8,104959574","52,26426137",Station Lüstringen,DE,429.96766290146087
157,"7,889576712","52,27739676",Station Westerkappeln,DE,108.20828222089554
158,"7,725706348","52,2771949",Station Ibbenbüren,DE,98.94876606966073
