node,longitude,latitude,node_name,country,RDcost
86,"7,023544499","50,99906841",Station Dünnwald,DE,3.8246470956915164e8
87,"8,364229531","51,92712049",Station Gütersloh,DE,2736.5634651768673
88,"6,456552466","50,87133804",Station Oberzier,DE,147151.88986264262
89,"8,054087354","53,33230269",Conneforde,DE,12141.414870101155
90,"8,477910636","53,42848547",Kernkraftwerk Unterweser,DE,134976.3172783714
91,"6,851531138","50,98417047",Bocklemünd,DE,144720.83766097907
92,"7,353111869","51,5758105",Station Mengede,DE,244.39571988827356
93,"7,617020995","51,63713376",Kraftwerk Bergkamen,DE,7145.085101850014
94,"7,522280101","51,53219806",Station Wambel,DE,4976.481998838854
95,"6,90660779","51,56524245",Station Nordlicht,DE,0.0
96,"6,868044963","51,37447478",Station Selbeck,DE,247.64116658164346
97,"13,0786421","54,28484617",Umspannwerk Lüdershagen,DE,1.2906245831762166e6
98,"8,020290338","50,92361689",Setzer Wiese,DE,4465.10868771155
99,"13,95700555","53,25217163",Bertikow,DE,3.77878640544924e6
100,"14,27083467","53,09628655",Vierraden,DE,4.242076127468235e6
101,"9,908847528","53,48804664",Umspannwerk Hamburg/Süd,DE,7.040008454746138e6
102,"6,617381091","51,47579096",Station Utfort,DE,718.5930382649095
103,"6,723767145","51,35565438",Station Mündelheim,DE,619224.1763589124
104,"6,656735195","51,37952363",Uerdingen,DE,59494.11824128825
105,"8,616647673","48,06595379",Umspannwerk Trossingen,DE,22999.018705449806
106,"6,715252597","51,52679087",Station Walsum,DE,354.23689445740445
107,"6,68934277","51,57642289",Station Zensenbusch,DE,0.0
108,"6,614278555","51,6186788",Spellen,DE,393.89742755270396
109,"7,445069304","51,61850009",Station Elmenhorst,DE,0.0
110,"6,80461158","50,9662453",Station Brauweiler,DE,2.1024019436664665e6
111,"6,73212495","51,45944374",Station Ruhrort,DE,25578.661472637476
112,"9,125265703","52,53826409",Landesbergen,DE,199.96476339963974
113,"7,320892575","52,47145723",Kernkraftwerk Emsland,DE,77501.67561085534
114,"7,708318489","51,67620331",Station Gersteinwerk,DE,0.0
115,"8,939692527","52,40303324",Schaltanlage Ovenstädt,DE,121.2965106679067
116,"9,409520327","52,03431667",Kernkraftwerk Grohnde,DE,109.61237695498602
117,"6,813684315","49,72483407",Station Osburg,DE,47181.081978417176
118,"8,588690496","49,81551406",Umspannanlage Pfungstadt,DE,7.246473124528791e6
119,"8,419371059","49,63373568",Station Bürstadt,DE,718822.9530607129
120,"7,44948529","50,40252766",Station Weißenthurm,DE,114516.05861769538
121,"9,190787437","48,91441687",Umspannstation Hoheneck Amprion,DE,5834.172341833796
122,"12,13206997","54,14245988",Kraftwerk Rostock,DE,4.747793335769854e6
123,"8,571258828","52,10536496",Eickum,DE,57188.60663349584
124,"7,235793445","49,36939236",Mittelbexbach,DE,266255.9136640156
125,"8,408269736","49,52856892",BASF,DE,1.1564425764216367e7
126,"8,35233388","49,42127434",Netzleitstelle Mutterstadt,DE,75162.79831826467
127,"7,729201979","49,48264743",Otterbach,DE,64134.880860826685
128,"9,797336027","52,00083925",Godenau,DE,1.6443412005406362e6
129,"8,627161258","49,54359527",Umspannwerk Weinheim,DE,1.1226209349688205e6
130,"10,08215733","48,26609016",Vöhringen Amprion,DE,50257.51509774164
131,"7,958054023","47,59547226",Lastverteilung/Schaltanlage Kühmoos,DE,4420.475612382336
132,"10,08375127","48,26886752",Vöhringen LEW,DE,40139.027629052696
133,"9,196756526","48,91296344",Umspannwerk Hoheneck EnBW,DE,405134.48141724744
134,"9,885515098","48,30407436",Umspannwerk Dellmensingen,DE,246100.2857661847
135,"6,47473977","49,9224693",Station Niederstedem,DE,23681.350180444482
136,"6,620535568","49,74893867",Station Trier,DE,109697.94831883672
137,"8,471371633","50,09720774",Umspannwerk Kriftel,DE,1.1188001604362312e6
138,"8,98953615","50,06025506",Karlstein,DE,5141.963904993362
139,"10,36338423","47,73833681",Schaltanlage Leupolz,DE,307574.0871164038
140,"7,461500259","51,61461431",Trianel Kraftwerk Lünen,DE,4.542998655682619e6
141,"6,755523406","49,36486959",Dieffeln,DE,0.0
142,"9,882804298","51,5155075",Umspannwerk Rosdorf,DE,95526.24456429426
143,"8,785793025","48,5837674",EnBW Umspannwerk Oberjettingen,DE,5022.023326043001
144,"9,425512386","48,0643508",Umspannwerk Herbertingen,DE,61024.32874814857
145,"6,772523094","51,14710549",Station Norf,DE,84037.30876150249
146,"6,709673695","51,09094074",Station Gohrpunkt,DE,0.0
147,"8,624800528","51,42788838",Station Nehden,DE,1563.2227849511812
148,"7,985067458","50,84222544",Station Eiserfeld,DE,6874.06849133632
149,"8,284861779","50,75907352",Dillenburg,DE,2511.47645926328
150,"7,224238427","53,34992715",Emden-Borßum,DE,2505.5064579235445
151,"9,318195236","54,71604941",Flensburg,DE,51845.19885856319
152,"12,81390991","50,85791851",Umspannwerk Röhrsdorf,DE,8.014130723101374e6
153,"12,5182221","51,15707259",Eula,DE,5305.977608361134
154,"8,480095235","50,59092043",Umspannwerk Aßlar,DE,5226.404387368692
155,"8,081626706","52,85863748",Cloppenburg 220 kV,DE,6921.319614108506
156,"8,104959574","52,26426137",Station Lüstringen,DE,4665.945378893632
157,"7,889576712","52,27739676",Station Westerkappeln,DE,1093.6522918239393
158,"7,725706348","52,2771949",Station Ibbenbüren,DE,1002.6808295058971
159,"14,50810918","51,41371038",Umspannwerk Bärwalde,DE,3343.660857669074
160,"11,56150747","52,12389245",Magdeburg (50Hertz),DE,45105.2456040764
161,"11,6441811","51,90851287",Umspannwerk Förderstedt,DE,706003.3157157815
162,"10,36923005","52,16709243",Salzgitter-Hallendorf,DE,0.0
163,"13,90243469","51,87472352",Umspannwerk Ragow,DE,870372.217974374
164,"8,403141436","52,60964401",Station Sankt Hülfe,DE,1855.061938518399
165,"9,514240091","51,25903558",Umspannwerk Bergshausen,DE,74080.90469256116
166,"9,25938382","51,06036685",Umspannwerk Borken,DE,4749.104423607053
167,"8,958708562","50,08260781",Umspannwerk Großkrotzenburg,DE,23249.637971610115
168,"9,177459676","49,03780985",Umrichterwerk Neckarwestheim,DE,710.3285527909501
169,"9,15135395","49,14338341",380-kV-Umspannwerk Großgartach,DE,778.1457585033728
170,"10,187834","49,98121904",Grafenrheinfeld,DE,3222.8430380194072
