hour,fuel,RD
7692,0.0,0.0
7692,30.0,0.0
7692,40.0,0.0
7692,120.0,0.0
7692,220.0,0.0
7692,SolarPV,0.0
7692,Wind,0.0
7692,LostLoad,453.74548031383677
7693,60.0,0.0
7693,70.0,1556.5255467044997
7693,100.0,633.2678200064729
7693,110.0,110.81103151663699
7693,130.0,67.03331599885625
7693,221.0,1841.3379008815186
7693,50.0,0.0
7693,80.0,830.0
7693,90.0,0.0
7693,140.0,0.0
7693,150.0,0.0
7693,0.0,0.0
7693,30.0,0.0
7693,40.0,0.0
7693,120.0,0.0
7693,220.0,0.0
7693,SolarPV,0.0
7693,Wind,0.0
7693,LostLoad,407.8863338753622
7694,60.0,0.0
7694,70.0,1347.7220044662793
7694,100.0,539.7956512675726
7694,110.0,110.81103151663699
7694,130.0,67.03331599885625
7694,221.0,1747.7478275811945
7694,50.0,0.0
7694,80.0,810.8802469680913
7694,90.0,0.0
7694,140.0,0.0
7694,150.0,0.0
7694,0.0,0.0
7694,30.0,0.0
7694,40.0,0.0
7694,120.0,0.0
7694,220.0,0.0
7694,SolarPV,0.0
7694,Wind,0.0
7694,LostLoad,345.8951995497226
7695,60.0,0.0
7695,70.0,2001.93135036822
7695,100.0,558.8746364693279
7695,110.0,110.81103151663699
7695,130.0,67.03331599885625
7695,221.0,1716.353802546618
7695,50.0,0.0
7695,80.0,773.5899754430395
7695,90.0,0.0
7695,140.0,0.0
7695,150.0,0.0
7695,0.0,0.0
7695,30.0,0.0
7695,40.0,0.0
7695,120.0,0.0
7695,220.0,0.0
7695,SolarPV,0.0
7695,Wind,0.0
7695,LostLoad,296.1392535864651
7696,60.0,0.0
7696,70.0,1220.8214077530974
7696,100.0,603.4043381848863
7696,110.0,111.81994586095232
7696,130.0,68.12167273474445
7696,221.0,1747.5965196309094
7696,50.0,0.0
7696,80.0,778.4105153913376
7696,90.0,0.0
7696,140.0,0.0
7696,150.0,0.0
7696,0.0,0.0
7696,30.0,0.0
7696,40.0,0.0
7696,120.0,0.0
7696,220.0,0.0
7696,SolarPV,0.0
7696,Wind,0.0
7696,LostLoad,288.2197272316631
7697,60.0,0.0
7697,70.0,1707.005561201224
