hour,Total_RD_Cost
7875,337986.1899512655
7876,396660.22508798685
7877,299108.07264721225
7878,370173.4610061641
7879,339431.6575681673
7880,371148.55618070764
7881,494088.55440442066
7882,499378.14961494197
7883,625347.6084284583
7884,710525.8199854323
7885,623156.5509021053
7886,570774.3173382238
7887,476870.92001692724
7888,488532.1130492615
7889,607722.9522268206
7890,955033.8098863061
7891,1.1109080186536517e6
7892,1.0728331056387043e6
7893,859803.0287253857
7894,877711.903665339
7895,790465.1477470866
7896,612529.6653082841
7897,673113.3278614089
7898,516493.0221104314
7899,438203.59521875036
7900,503509.9876849094
7901,452771.72916419065
7902,709650.7501662569
7903,1.36295044547683e6
7904,1.774798111214848e6
7905,1.9490124433695904e6
7906,1.9062054767703582e6
7907,2.027965227623813e6
7908,2.0034006202991894e6
7909,1.8078038530243856e6
7910,1.7891855114303827e6
7911,1.805584353760859e6
7912,1.7873418869955488e6
7913,1.8823587958017602e6
7914,2.359608861766823e6
7915,2.4725499021687475e6
7916,2.3423977470239736e6
7917,1.8820041568169438e6
7918,1.7383537570528467e6
7919,1.3185940714082923e6
7920,1.008678755870752e6
7921,994400.1017633628
7922,837788.0295269194
7923,702554.6839874872
7924,712250.9356756296
7925,732945.9333260192
7926,993227.8084545766
7927,1.4202768207711724e6
7928,1.924624038158308e6
7929,2.0533399201964277e6
7930,1.98570343958863e6
7931,2.0627564651129758e6
7932,2.1133793560489337e6
7933,1.9348087492636512e6
7934,2.0493815036022773e6
7935,1.9338875850283208e6
7936,1.9656167483645072e6
7937,1.9879182890808429e6
7938,2.508810586563314e6
7939,2.489171203177921e6
7940,2.412607987645262e6
7941,2.0235719632196361e6
7942,2.0660243412934525e6
7943,1.7122626424890095e6
7944,1.3619565424951557e6
7945,1.2773532466551168e6
7946,1.258592542838954e6
7947,1.061954131449747e6
7948,1.0947356980193967e6
7949,982735.569923356
7950,1.2629112804948692e6
7951,1.8718891023262346e6
7952,2.175305924649513e6
7953,2.291225702865887e6
7954,2.0814677621835633e6
7955,2.164750836263237e6
7956,2.0840127378783121e6
7957,2.0244838388600098e6
7958,1.9453273841422747e6
7959,1.812974189588528e6
7960,1.8532457430645889e6
7961,2.1161393055540663e6
7962,2.4259159170453222e6
7963,2.5308305153575176e6
7964,2.419006133023771e6
7965,2.1731719761399436e6
7966,1.8945763401367292e6
7967,1.5967363203814335e6
7968,1.2551159037779071e6
7969,973277.4966838771
7970,831391.2630996446
7971,778080.7099718994
7972,736570.384487026
7973,853128.3005412802
7974,978113.5800767133
7975,1.5121086019980444e6
7976,1.997257318635015e6
7977,2.156112172860721e6
7978,1.9768640538618758e6
7979,2.0412037286862645e6
7980,1.9654628555398947e6
7981,1.8588622451674347e6
7982,1.8242036805894966e6
7983,1.8071337193396713e6
7984,1.9420261734537308e6
7985,2.0721493920638142e6
7986,2.4415036098861094e6
7987,2.498106046265045e6
7988,2.407224260964684e6
7989,2.1177566351734665e6
7990,1.8891731858385564e6
7991,1.684486751602898e6
7992,1.2857267840684627e6
