hour,fuel,RD
7695,Hydro,0.0
7695,LostLoad,200.69754337673197
7696,NaturalGas,2041.9371750609992
7696,Biomass,0.0
7696,HardCoal,0.0
7696,Lignite,0.0
7696,Oil(light),0.0
7696,Waste,0.0
7696,OtherFuels,0.0
7696,Nuclear,0.0
7696,Oil(heavy),0.0
7696,WindOnshore,0.0
7696,WindOffshore,0.0
7696,SolarPV,0.0
7696,RoR,0.0
7696,Geothermal,0.0
7696,Hydro,0.0
7696,LostLoad,209.78504774924113
7697,NaturalGas,1785.3530019824514
7697,Biomass,0.0
7697,HardCoal,0.0
7697,Lignite,0.0
7697,Oil(light),0.0
7697,Waste,0.0
7697,OtherFuels,0.0
7697,Nuclear,0.0
7697,Oil(heavy),0.0
7697,WindOnshore,0.0
7697,WindOffshore,0.0
7697,SolarPV,0.0
7697,RoR,0.0
7697,Geothermal,0.0
7697,Hydro,0.0
7697,LostLoad,204.14114718675336
7698,NaturalGas,1784.741415798591
7698,Biomass,0.0
7698,HardCoal,0.0
7698,Lignite,0.0
7698,Oil(light),0.0
7698,Waste,0.0
7698,OtherFuels,0.0
7698,Nuclear,0.0
7698,Oil(heavy),0.0
7698,WindOnshore,0.0
7698,WindOffshore,0.0
7698,SolarPV,0.0
7698,RoR,0.0
7698,Geothermal,0.0
7698,Hydro,0.0
7698,LostLoad,221.23151015204502
7699,NaturalGas,2375.034435781115
7699,Biomass,0.0
7699,HardCoal,0.0
7699,Lignite,0.0
7699,Oil(light),0.0
7699,Waste,0.0
7699,OtherFuels,0.0
7699,Nuclear,0.0
7699,Oil(heavy),0.0
7699,WindOnshore,0.0
7699,WindOffshore,0.0
7699,SolarPV,0.0
7699,RoR,0.0
7699,Geothermal,0.0
7699,Hydro,101.72635783538124
7699,LostLoad,184.31800661501097
7700,NaturalGas,1824.4422524435124
7700,Biomass,0.0
7700,HardCoal,0.0
7700,Lignite,0.0
7700,Oil(light),0.0
7700,Waste,0.0
7700,OtherFuels,0.0
7700,Nuclear,0.0
7700,Oil(heavy),0.0
7700,WindOnshore,0.0
7700,WindOffshore,0.0
7700,SolarPV,0.0
7700,RoR,0.0
7700,Geothermal,0.0
7700,Hydro,0.0
7700,LostLoad,154.31514932835188
7701,NaturalGas,1484.3478935477867
7701,Biomass,0.0
7701,HardCoal,613.1344039674334
7701,Lignite,0.0
7701,Oil(light),0.0
7701,Waste,0.0
7701,OtherFuels,0.0
7701,Nuclear,0.0
7701,Oil(heavy),0.0
7701,WindOnshore,0.0
7701,WindOffshore,0.0
7701,SolarPV,0.0
7701,RoR,0.0
7701,Geothermal,0.0
7701,Hydro,0.0
7701,LostLoad,123.3341188256496
7702,NaturalGas,116.28
7702,Biomass,0.0
7702,HardCoal,1665.0957961992003
7702,Lignite,0.0
7702,Oil(light),0.0
7702,Waste,0.0
7702,OtherFuels,0.0
7702,Nuclear,0.0
7702,Oil(heavy),0.0
7702,WindOnshore,0.0
7702,WindOffshore,0.0
7702,SolarPV,0.0
7702,RoR,0.0
7702,Geothermal,0.0
7702,Hydro,0.0
7702,LostLoad,97.53947510867533
7703,NaturalGas,305.4673563175454
7703,Biomass,0.0
7703,HardCoal,2680.408826873489
7703,Lignite,0.0
7703,Oil(light),0.0
7703,Waste,0.0
7703,OtherFuels,0.0
7703,Nuclear,0.0
7703,Oil(heavy),0.0
7703,WindOnshore,0.0
7703,WindOffshore,0.0
7703,SolarPV,0.0
7703,RoR,0.0
7703,Geothermal,0.0
7703,Hydro,0.0
7703,LostLoad,80.37008037413784
7704,NaturalGas,295.6475658063566
7704,Biomass,0.0
7704,HardCoal,464.7757518711713
7704,Lignite,2832.057074161351
7704,Oil(light),0.0
7704,Waste,0.0
7704,OtherFuels,0.0
7704,Nuclear,0.0
7704,Oil(heavy),0.0
7704,WindOnshore,0.0
7704,WindOffshore,0.0
7704,SolarPV,0.0
7704,RoR,0.0
7704,Geothermal,0.0
7704,Hydro,0.0
7704,LostLoad,35.89689987628386
7705,NaturalGas,110.58500000000001
7705,Biomass,0.0
7705,HardCoal,2169.8482792866225
7705,Lignite,3169.801453406212
7705,Oil(light),0.0
7705,Waste,0.0
7705,OtherFuels,0.0
7705,Nuclear,0.0
7705,Oil(heavy),0.0
7705,WindOnshore,0.0
7705,WindOffshore,0.0
7705,SolarPV,0.0
7705,RoR,0.0
7705,Geothermal,0.0
7705,Hydro,630.3221624878931
7705,LostLoad,8.851364943659235
7706,NaturalGas,110.58500000000001
7706,Biomass,0.0
7706,HardCoal,2325.2119785389746
7706,Lignite,3416.5453861591213
7706,Oil(light),0.0
7706,Waste,0.0
7706,OtherFuels,0.0
7706,Nuclear,0.0
7706,Oil(heavy),0.0
7706,WindOnshore,0.0
7706,WindOffshore,0.0
7706,SolarPV,0.0
7706,RoR,0.0
7706,Geothermal,0.0
7706,Hydro,247.04855242639704
7706,LostLoad,4.944039834224867
7707,NaturalGas,110.58500000000001
7707,Biomass,0.0
7707,HardCoal,1783.9254602265212
7707,Lignite,3909.5209999999997
7707,Oil(light),0.0
7707,Waste,0.0
7707,OtherFuels,0.0
7707,Nuclear,0.0
