hour,fuel,RD_up,RD_down,RD_net
7708,Geothermal,0.0,-0.0,0.0
7708,Hydro,610.3261553978386,0.0,610.3261553978386
7709,NaturalGas,6129.032386867502,0.0,6129.032386867502
7709,Biomass,0.0,-1062.8110208580133,-1062.8110208580133
7709,HardCoal,7691.876447201827,0.0,7691.876447201827
7709,Lignite,82.53817434952282,-7278.182162282275,-7195.643987932753
7709,Oil(light),1090.7170493128033,0.0,1090.7170493128033
7709,Waste,0.0,-26.25,-26.25
7709,OtherFuels,14.840000000000002,0.0,14.840000000000002
7709,Nuclear,0.0,-3163.7076123535453,-3163.7076123535453
7709,Oil(heavy),0.0,-0.0,0.0
7709,WindOnshore,0.0,-7986.575588420266,-7986.575588420266
7709,WindOffshore,0.0,-1333.0964759858334,-1333.0964759858334
7709,SolarPV,0.0,0.0,0.0
7709,RoR,0.0,-13.043847220819998,-13.043847220819998
7709,Geothermal,0.0,-0.0,0.0
7709,Hydro,2217.111595514298,0.0,2217.111595514298
7710,NaturalGas,6213.661364127732,0.0,6213.661364127732
7710,Biomass,0.0,-924.152328,-924.152328
7710,HardCoal,7698.001547045033,0.0,7698.001547045033
7710,Lignite,69.79769665351654,-7540.1831958528655,-7470.385499199349
7710,Oil(light),1284.7970748776404,0.0,1284.7970748776404
7710,Waste,0.0,-34.72,-34.72
7710,OtherFuels,3.18,0.0,3.18
7710,Nuclear,0.0,-3293.1230332873047,-3293.1230332873047
7710,Oil(heavy),25.444629359615334,-0.0,25.444629359615334
7710,WindOnshore,0.0,-6990.270944798366,-6990.270944798366
7710,WindOffshore,0.0,-1693.5997791437198,-1693.5997791437198
7710,SolarPV,0.0,0.0,0.0
7710,RoR,0.0,-4.1451783903,-4.1451783903
7710,Geothermal,0.0,-0.0,0.0
7710,Hydro,644.8034080829357,0.0,644.8034080829357
7711,NaturalGas,7600.236974852053,0.0,7600.236974852053
7711,Biomass,0.0,-976.100841,-976.100841
7711,HardCoal,8180.112224961936,-1606.5809770189207,6573.531247943015
7711,Lignite,0.0,-8968.113929727782,-8968.113929727782
7711,Oil(light),1382.6647350354071,0.0,1382.6647350354071
7711,Waste,0.0,-16.53072829444755,-16.53072829444755
7711,OtherFuels,30.369000000000003,0.0,30.369000000000003
7711,Nuclear,0.0,-2918.378935612086,-2918.378935612086
7711,Oil(heavy),68.0,-0.0,68.0
7711,WindOnshore,0.0,-6117.340219006046,-6117.340219006046
7711,WindOffshore,0.0,-1080.1940662571014,-1080.1940662571014
7711,SolarPV,0.0,0.0,0.0
7711,RoR,0.0,-6.618019256239999,-6.618019256239999
7711,Geothermal,0.0,-0.0,0.0
7711,Hydro,0.0,0.0,0.0
7712,NaturalGas,9193.007233856424,0.0,9193.007233856424
7712,Biomass,0.0,-902.6964985872937,-902.6964985872937
7712,HardCoal,5143.878856051699,-3448.2887743146134,1695.5900817370853
7712,Lignite,0.0,-7960.283591199803,-7960.283591199803
7712,Oil(light),1493.8279892841285,0.0,1493.8279892841285
7712,Waste,0.0,-26.25,-26.25
7712,OtherFuels,55.650000000000006,0.0,55.650000000000006
7712,Nuclear,0.0,-3011.4102361328682,-3011.4102361328682
7712,Oil(heavy),68.0,-0.0,68.0
7712,WindOnshore,0.0,-5778.915991011041,-5778.915991011041
7712,WindOffshore,0.0,-1239.6044756413135,-1239.6044756413135
7712,SolarPV,0.0,-0.07774834592024239,-0.07774834592024239
7712,RoR,0.0,-9.95201635208,-9.95201635208
7712,Geothermal,0.0,-0.0,0.0
7712,Hydro,423.41286902391386,0.0,423.41286902391386
7713,NaturalGas,9355.697905074658,0.0,9355.697905074658
7713,Biomass,0.0,-824.5094828446325,-824.5094828446325
7713,HardCoal,3414.472664122435,-3605.1864051781195,-190.7137410556843
7713,Lignite,0.0,-7650.149658288331,-7650.149658288331
7713,Oil(light),1518.4400000000003,0.0,1518.4400000000003
7713,Waste,0.0,-67.13,-67.13
7713,OtherFuels,77.91000000000001,0.0,77.91000000000001
7713,Nuclear,0.0,-3014.5474366755207,-3014.5474366755207
7713,Oil(heavy),68.0,-0.0,68.0
7713,WindOnshore,0.0,-5105.430472113888,-5105.430472113888
7713,WindOffshore,0.0,-1110.8166623713641,-1110.8166623713641
7713,SolarPV,0.0,-10.358308791128456,-10.358308791128456
7713,RoR,0.0,-10.4362600075,-10.4362600075
7713,Geothermal,0.0,-0.0,0.0
7713,Hydro,1142.9795164930752,0.0,1142.9795164930752
7714,NaturalGas,9674.915202712215,0.0,9674.915202712215
7714,Biomass,0.0,-757.1424509999999,-757.1424509999999
7714,HardCoal,4093.4494939518213,-3502.7121637431997,590.7373302086216
7714,Lignite,0.0,-7418.356653057606,-7418.356653057606
7714,Oil(light),1234.9379716058604,0.0,1234.9379716058604
7714,Waste,0.0,-67.13,-67.13
7714,OtherFuels,65.561,0.0,65.561
7714,Nuclear,0.0,-3022.151537587854,-3022.151537587854
7714,Oil(heavy),68.0,-0.0,68.0
7714,WindOnshore,0.0,-5440.62297619087,-5440.62297619087
7714,WindOffshore,0.0,-696.2936985382393,-696.2936985382393
7714,SolarPV,0.0,-44.98069392930147,-44.98069392930147
7714,RoR,0.0,-10.4362600075,-10.4362600075
7714,Geothermal,0.0,-0.0,0.0
7714,Hydro,142.89944440735147,0.0,142.89944440735147
7715,NaturalGas,9724.223224377838,0.0,9724.223224377838
7715,Biomass,0.0,-757.1424509999999,-757.1424509999999
7715,HardCoal,4307.9562427731325,-3424.729913389363,883.2263293837696
7715,Lignite,0.0,-7503.160904709055,-7503.160904709055
7715,Oil(light),1075.4118212744977,0.0,1075.4118212744977
7715,Waste,0.0,-67.13,-67.13
7715,OtherFuels,43.301,0.0,43.301
7715,Nuclear,0.0,-3038.0815574718645,-3038.0815574718645
7715,Oil(heavy),68.0,-0.0,68.0
7715,WindOnshore,0.0,-5512.533561815051,-5512.533561815051
7715,WindOffshore,0.0,-448.6378309386406,-448.6378309386406
7715,SolarPV,0.0,-85.8461136178193,-85.8461136178193
7715,RoR,0.0,-9.55161963358,-9.55161963358
7715,Geothermal,0.0,-0.0,0.0
7715,Hydro,0.0,0.0,0.0
7716,NaturalGas,9586.103814926399,0.0,9586.103814926399
7716,Biomass,0.0,-696.360834,-696.360834
7716,HardCoal,4540.55354184741,-3517.4400229231587,1023.1135189242514
7716,Lignite,0.0,-7590.183734625184,-7590.183734625184
7716,Oil(light),1020.9623014036139,0.0,1020.9623014036139
7716,Waste,0.0,-79.03,-79.03
7716,OtherFuels,43.301,0.0,43.301
