hour,Total_RD_Cost
7837,1.9608639392670342e6
7838,1.515694352052032e6
7839,1.7294072386094544e6
7840,1.576791869908619e6
7841,1.6554293912217042e6
7842,2.246833402631074e6
7843,2.2369392346381554e6
7844,2.0449144312219687e6
7845,1.8083338131087644e6
7846,1.4841942988950277e6
7847,1.3332036947231372e6
7848,1.0736186152755667e6
7849,530239.9178157406
7850,478364.78193801094
7851,457999.97612547514
7852,448211.0419956168
7853,450516.88754261564
7854,405345.0194975579
7855,443726.05593852664
7856,564644.4425449277
7857,891743.8983796847
7858,882064.5614002359
7859,896680.3974688608
7860,776261.6748585342
7861,647758.6941881486
7862,895137.3287871882
7863,471844.23762625654
7864,564136.4640118359
7865,724523.5248440003
7866,1.0024000716976414e6
7867,1.1145137428774475e6
7868,994255.4637281231
7869,847178.0649989108
7870,673898.1657550081
7871,610459.498398892
7872,559236.1422528
7873,514900.7932654949
7874,418757.4885941836
7875,423769.02594978316
7876,393032.3167971844
7877,331069.6896134069
7878,338605.44257509726
7879,357377.4036186759
7880,377095.56641433964
7881,519515.9918011016
7882,465836.3512569361
7883,519834.7470642909
7884,563935.1081665484
7885,508493.7076062231
7886,631022.372914085
7887,442267.3958145493
7888,500052.6810226548
7889,582443.1938140681
7890,857091.7264494433
7891,988244.6835447093
7892,939040.417313376
7893,848487.0270694814
7894,767726.2195977052
7895,773858.8237276272
7896,528807.227882133
7897,602420.8872145929
7898,636852.0734381633
7899,529942.8808281937
7900,543164.5135984604
7901,516583.52797920234
7902,765216.1390904087
7903,1.3570231123890406e6
7904,1.7428365249837243e6
7905,1.9898026157913534e6
7906,1.8784564839021093e6
7907,1.8391823620921276e6
7908,2.0372607371297362e6
7909,1.8009074608864945e6
7910,1.9286990919584534e6
7911,1.6052819677587373e6
7912,1.5784558060866483e6
7913,1.7383677102724367e6
7914,2.288856972735186e6
7915,2.352931244449856e6
7916,2.1583196040239558e6
7917,1.7195633033887234e6
7918,1.766575867981293e6
7919,1.3522377013097438e6
7920,939143.6837865129
7921,1.0169035616414872e6
7922,852329.4024709541
7923,739466.3123811424
7924,836608.264770151
7925,872890.9080528986
7926,990390.9460985031
7927,1.342501327152832e6
7928,1.857543723458964e6
7929,2.0458489953681934e6
7930,1.9733898951551833e6
7931,1.780342453509488e6
7932,1.9062575672981392e6
7933,2.0785962296957953e6
7934,2.082006205556157e6
7935,1.9072311521475767e6
7936,1.9399612744507857e6
7937,1.9027527530224319e6
7938,2.329165718204122e6
7939,2.3501817041881364e6
7940,2.3770945150037915e6
7941,1.8632793885192212e6
7942,2.1083756914591664e6
7943,1.6846427458264178e6
7944,1.3713903554762646e6
7945,1.2626175226796109e6
7946,1.1764709962299608e6
7947,1.0420936069118843e6
7948,1.1977053610700266e6
7949,1.0949908833395368e6
7950,1.195558296352406e6
7951,1.7669084564362667e6
7952,2.106902740428966e6
7953,1.9639653981541176e6
7954,1.9590536094789153e6
7955,2.0102928178445254e6
7956,1.9585242188100088e6
7957,2.1852745745540587e6
7958,2.093587416619166e6
7959,1.782041177992188e6
7960,1.993173676393121e6
7961,2.141233874863755e6
7962,2.30052386074654e6
7963,2.394303672688333e6
7964,2.413251094683859e6
7965,2.003162592454418e6
7966,1.7503547316402989e6
7967,1.6564915366356084e6
7968,1.2706076267123902e6
7969,1.0052911801856958e6
7970,796916.0072147661
7971,801243.9813566278
7972,906658.1359710163
7973,782374.4288762431
7974,1.0315775895785457e6
7975,1.4628075546764825e6
7976,1.9026953018438295e6
7977,1.952345863776914e6
7978,2.0489080280796427e6
7979,1.8597999415443323e6
7980,2.1758364964503716e6
7981,1.829069108697697e6
7982,1.9955600417713593e6
7983,1.8940978872035053e6
7984,1.7775689657737715e6
7985,1.9727684280890566e6
7986,2.2504970370105836e6
7987,2.4646939446993973e6
7988,2.3038876702344716e6
7989,1.941492717570272e6
7990,1.9229055665246851e6
7991,1.6316916812659032e6
7992,1.2138178482786072e6
7993,1.1479939071378303e6
7994,852695.4666055075
7995,690000.052524277
7996,724285.4792897169
7997,765328.0816354874
7998,1.0214649891012601e6
7999,1.533789695554356e6
8000,2.0090086161084594e6
8001,1.851374985126785e6
8002,1.7558605295509615e6
8003,2.2576962876905384e6
8004,1.8742446129812985e6
8005,1.9350007918912407e6
8006,2.067728881966782e6
8007,2.147481602023661e6
8008,2.0426209196667615e6
8009,2.0180074131957858e6
8010,2.2452358551442227e6
8011,2.410038044550386e6
8012,2.373131037671954e6
8013,2.0811411110339046e6
8014,1.7088856517387186e6
8015,1.7725852282099535e6
8016,1.3323287972795202e6
