hour,fuel,RD_up,RD_down,RD_net
7690,Lignite,0.0,0.0,0.0
7690,Oil(light),0.0,0.0,0.0
7690,Waste,0.0,0.0,0.0
7690,OtherFuels,0.0,0.0,0.0
7690,Nuclear,0.0,-79.7820778177254,-79.7820778177254
7690,Oil(heavy),0.0,-0.0,0.0
7690,WindOnshore,0.0,0.0,0.0
7690,WindOffshore,0.0,-0.0,0.0
7690,SolarPV,0.0,0.0,0.0
7690,RoR,0.0,0.0,0.0
7690,Geothermal,0.0,-0.0,0.0
7690,Hydro,0.0,0.0,0.0
7691,NaturalGas,575.3621766857677,-432.63797197901965,142.72420470674808
7691,Biomass,0.0,0.0,0.0
7691,HardCoal,0.0,-817.3696557135394,-817.3696557135394
7691,Lignite,0.0,0.0,0.0
7691,Oil(light),0.0,0.0,0.0
7691,Waste,0.0,0.0,0.0
7691,OtherFuels,0.0,0.0,0.0
7691,Nuclear,0.0,-38.61768347293548,-38.61768347293548
7691,Oil(heavy),0.0,-0.0,0.0
7691,WindOnshore,0.0,0.0,0.0
7691,WindOffshore,0.0,-0.0,0.0
7691,SolarPV,0.0,0.0,0.0
7691,RoR,0.0,0.0,0.0
7691,Geothermal,0.0,-0.0,0.0
7691,Hydro,0.0,0.0,0.0
7692,NaturalGas,634.695,-426.0288849426317,208.66611505736836
7692,Biomass,0.0,0.0,0.0
7692,HardCoal,0.0,-827.5114606870222,-827.5114606870222
7692,Lignite,0.0,0.0,0.0
7692,Oil(light),0.0,0.0,0.0
7692,Waste,0.0,0.0,0.0
7692,OtherFuels,0.0,0.0,0.0
7692,Nuclear,0.0,-40.73774769268823,-40.73774769268823
7692,Oil(heavy),0.0,-0.0,0.0
7692,WindOnshore,0.0,0.0,0.0
7692,WindOffshore,0.0,-0.0,0.0
7692,SolarPV,0.0,0.0,0.0
7692,RoR,0.0,0.0,0.0
7692,Geothermal,0.0,-0.0,0.0
7692,Hydro,0.0,0.0,0.0
7693,NaturalGas,634.695,-433.52811343948974,201.1668865605103
7693,Biomass,0.0,0.0,0.0
7693,HardCoal,0.0,-819.7101606643208,-819.7101606643208
7693,Lignite,0.0,0.0,0.0
7693,Oil(light),0.0,0.0,0.0
7693,Waste,0.0,0.0,0.0
7693,OtherFuels,0.0,0.0,0.0
7693,Nuclear,0.0,-31.20160367299718,-31.20160367299718
7693,Oil(heavy),0.0,-0.0,0.0
7693,WindOnshore,0.0,0.0,0.0
7693,WindOffshore,0.0,-0.0,0.0
7693,SolarPV,0.0,0.0,0.0
7693,RoR,0.0,0.0,0.0
7693,Geothermal,0.0,-0.0,0.0
7693,Hydro,0.0,0.0,0.0
7694,NaturalGas,691.9429054568413,-321.8469179602614,370.09598749657994
7694,Biomass,0.0,0.0,0.0
7694,HardCoal,0.0,-1494.2655602006805,-1494.2655602006805
7694,Lignite,0.0,0.0,0.0
7694,Oil(light),0.0,0.0,0.0
7694,Waste,0.0,0.0,0.0
7694,OtherFuels,0.0,0.0,0.0
7694,Nuclear,0.0,-77.79901264791533,-77.79901264791533
7694,Oil(heavy),0.0,-0.0,0.0
7694,WindOnshore,0.0,0.0,0.0
7694,WindOffshore,0.0,-0.0,0.0
7694,SolarPV,0.0,0.0,0.0
7694,RoR,0.0,0.0,0.0
7694,Geothermal,0.0,-0.0,0.0
7694,Hydro,0.0,0.0,0.0
7695,NaturalGas,827.101783470811,-0.8392625744093607,826.2625208964016
7695,Biomass,0.0,0.0,0.0
7695,HardCoal,0.0,-1556.0726787535182,-1556.0726787535182
7695,Lignite,0.0,0.0,0.0
7695,Oil(light),0.0,0.0,0.0
7695,Waste,0.0,0.0,0.0
7695,OtherFuels,0.0,0.0,0.0
7695,Nuclear,0.0,-71.87756387006061,-71.87756387006061
7695,Oil(heavy),0.0,-0.0,0.0
7695,WindOnshore,0.0,0.0,0.0
7695,WindOffshore,0.0,-0.0,0.0
7695,SolarPV,0.0,0.0,0.0
7695,RoR,0.0,0.0,0.0
7695,Geothermal,0.0,-0.0,0.0
7695,Hydro,0.0,0.0,0.0
7696,NaturalGas,441.0756264685072,-521.4291372219133,-80.35351075340606
7696,Biomass,0.0,0.0,0.0
7696,HardCoal,0.0,-906.6240246435618,-906.6240246435618
7696,Lignite,0.0,0.0,0.0
7696,Oil(light),0.0,0.0,0.0
7696,Waste,0.0,0.0,0.0
7696,OtherFuels,0.0,0.0,0.0
7696,Nuclear,0.0,-35.5448596558432,-35.5448596558432
7696,Oil(heavy),0.0,-0.0,0.0
7696,WindOnshore,0.0,0.0,0.0
7696,WindOffshore,0.0,-0.0,0.0
7696,SolarPV,0.0,0.0,0.0
7696,RoR,0.0,0.0,0.0
7696,Geothermal,0.0,-0.0,0.0
7696,Hydro,0.0,0.0,0.0
7697,NaturalGas,727.9593324089844,-545.6624614795658,182.29687092941867
7697,Biomass,0.0,0.0,0.0
7697,HardCoal,0.0,-1066.8328620140078,-1066.8328620140078
7697,Lignite,0.0,0.0,0.0
7697,Oil(light),0.0,0.0,0.0
7697,Waste,0.0,0.0,0.0
7697,OtherFuels,0.0,0.0,0.0
7697,Nuclear,0.0,-36.65856428236225,-36.65856428236225
7697,Oil(heavy),0.0,-0.0,0.0
7697,WindOnshore,0.0,0.0,0.0
7697,WindOffshore,0.0,-0.0,0.0
7697,SolarPV,0.0,0.0,0.0
7697,RoR,0.0,0.0,0.0
7697,Geothermal,0.0,-0.0,0.0
7697,Hydro,0.0,0.0,0.0
7698,NaturalGas,587.2907591041428,-587.7573197732264,-0.4665606690836057
7698,Biomass,0.0,0.0,0.0
7698,HardCoal,0.0,-1124.5930928351327,-1124.5930928351327
7698,Lignite,0.0,0.0,0.0
7698,Oil(light),0.0,0.0,0.0
7698,Waste,0.0,0.0,0.0
7698,OtherFuels,0.0,0.0,0.0
7698,Nuclear,0.0,-38.6008833146434,-38.6008833146434
7698,Oil(heavy),0.0,-0.0,0.0
7698,WindOnshore,0.0,0.0,0.0
7698,WindOffshore,0.0,-0.0,0.0
7698,SolarPV,0.0,0.0,0.0
7698,RoR,0.0,0.0,0.0
7698,Geothermal,0.0,-0.0,0.0
7698,Hydro,0.0,0.0,0.0
7699,NaturalGas,1298.673671781138,-755.5025075438983,543.1711642372396
7699,Biomass,0.0,0.0,0.0
7699,HardCoal,0.0,-1532.998089953216,-1532.998089953216
7699,Lignite,0.0,0.0,0.0
