hour,Global_Vol_Res
7681,-0.0
7682,-0.0
7683,-0.0
7684,-0.0
7685,-0.0
7686,-0.0
7687,-0.0
7688,-0.0
7689,-0.0
7690,-0.0
7691,-0.0
7692,-0.0
7693,-0.0
7694,-0.0
7695,-0.0
7696,-0.0
7697,-0.0
7698,-0.0
7699,-0.0
7700,-0.0
7701,-0.0
7702,287.11415461849634
7703,872.8112996677418
7704,1287.0144128824336
7705,1889.7389133585543
7706,2028.8528747960027
7707,2160.3556841407635
7708,1982.730634771759
7709,1947.2207088960606
7710,2019.0285196295576
7711,1555.4721182322285
7712,1279.8657549393765
7713,829.7526422440702
7714,705.5756432168905
7715,826.6968129704516
7716,999.6851376122419
7717,1051.6235500213334
7718,935.5009492786606
7719,659.5646049680286
7720,263.12717744018533
7721,123.37060499431286
7722,37.66793990572559
7723,363.3267316659019
7724,678.6992805592776
7725,805.8921643616533
7726,1170.5621819292714
7727,1333.0769713976933
7728,1521.7259009312174
7729,1396.9785981963591
7730,1380.328792265232
7731,1329.09286299162
7732,1260.465271330653
7733,1340.6434492609592
7734,1358.3131042850032
7735,1299.312737812869
7736,1208.3085524707978
7737,1223.589389743719
7738,1401.4186084598032
7739,1552.0382685604195
7740,1581.6537519143137
7741,1615.1216563035398
7742,1551.1300250453264
7743,1383.2891283061035
7744,1249.5822952492117
7745,1032.072879421861
7746,763.6740345225137
7747,568.0004607809497
7748,392.6161529105749
7749,239.0282163223888
7750,141.73780457431295
7751,78.51672080112704
7752,36.83157542426541
7753,65.47851073393608
7754,45.81208479824994
7755,44.957127546926046
7756,88.2626144907358
7757,52.629938318499825
7758,79.41978008293968
7759,-0.0
7760,-0.0
7761,-0.0
7762,-0.0
7763,-0.0
7764,8.959636677264292
7765,1.1651920061249155
7766,-0.0
7767,-0.0
7768,-0.0
7769,-0.0
7770,-0.0
7771,-0.0
7772,-0.0
7773,-0.0
7774,-0.0
7775,-0.0
7776,-0.0
7777,-0.0
7778,-0.0
7779,-0.0
7780,-0.0
7781,-0.0
7782,-0.0
7783,-0.0
7784,-0.0
7785,-0.0
7786,-0.0
7787,-0.0
7788,-0.0
7789,-0.0
7790,-0.0
7791,-0.0
7792,-0.0
7793,-0.0
7794,-0.0
7795,-0.0
7796,-0.0
7797,-0.0
7798,-0.0
7799,-0.0
7800,-0.0
7801,-0.0
7802,-0.0
7803,-0.0
7804,-0.0
7805,-0.0
7806,-0.0
7807,-0.0
7808,65.7084158800103
7809,220.23388582605241
7810,398.7784252919173
7811,618.1800502094638
7812,743.2784922238693
7813,782.523788631317
7814,654.297337753408
7815,517.5769472940503
7816,425.8969756353661
7817,394.1719751467403
7818,429.77482594930285
7819,476.69711879985186
7820,404.71101666304634
7821,336.15958439686455
7822,176.52044959297174
7823,62.3697703123538
7824,-0.0
7825,-0.0
7826,-0.0
7827,-0.0
7828,-0.0
7829,-0.0
7830,-0.0
7831,-0.0
7832,-0.0
7833,-0.0
7834,-0.0
7835,-0.0
7836,-0.0
7837,-0.0
7838,-0.0
7839,-0.0
7840,-0.0
7841,-0.0
7842,-0.0
7843,-0.0
7844,-0.0
7845,-0.0
7846,-0.0
7847,-0.0
7848,-0.0
7849,-0.0
7850,-0.0
7851,-0.0
7852,29.34424277942993
7853,58.02484841178712
7854,45.735850151538585
7855,27.80295038970859
7856,27.06750701607996
7857,78.21076740851551
7858,153.61411369493095
7859,319.3068533637158
7860,399.5225661248658
7861,440.5113110876995
7862,469.4798456938516
7863,461.2489380229388
7864,399.5341611063905
7865,354.0358677679585
7866,280.354651897611
7867,158.74290269392733
7868,25.188841601713197
7869,-0.0
7870,-0.0
7871,-0.0
7872,-0.0
7873,-0.0
7874,-0.0
7875,-0.0
7876,-0.0
7877,-0.0
7878,-0.0
7879,-0.0
7880,-0.0
7881,-0.0
7882,-0.0
7883,-0.0
7884,-0.0
7885,-0.0
7886,-0.0
7887,-0.0
7888,-0.0
7889,-0.0
7890,-0.0
7891,-0.0
7892,-0.0
7893,-0.0
7894,-0.0
7895,-0.0
7896,-0.0
7897,-0.0
7898,-0.0
7899,-0.0
7900,-0.0
7901,-0.0
7902,-0.0
7903,-0.0
7904,-0.0
7905,-0.0
7906,-0.0
7907,-0.0
7908,-0.0
7909,-0.0
7910,-0.0
7911,-0.0
7912,-0.0
7913,-0.0
7914,-0.0
7915,-0.0
7916,-0.0
7917,-0.0
7918,-0.0
7919,-0.0
7920,-0.0
7921,-0.0
7922,-0.0
7923,-0.0
7924,-0.0
7925,-0.0
7926,-0.0
7927,-0.0
7928,-0.0
7929,-0.0
7930,-0.0
7931,-0.0
7932,-0.0
7933,-0.0
7934,-0.0
7935,-0.0
7936,-0.0
7937,-0.0
7938,-0.0
7939,-0.0
7940,-0.0
7941,-0.0
7942,36.945935472522784
7943,72.70584289757576
7944,140.4851830676157
7945,190.01248386698322
7946,244.78057276519704
7947,271.83361265553117
7948,289.6010979426906
7949,270.4756566575917
7950,148.59570916290022
7951,-0.0
7952,-0.0
7953,-0.0
7954,-0.0
7955,-0.0
7956,-0.0
7957,-0.0
7958,-0.0
7959,-0.0
7960,-0.0
7961,-0.0
7962,-0.0
7963,-0.0
7964,83.70085016500894
7965,144.22376468970776
7966,347.26270138008664
7967,513.7050849139757
7968,834.1564820003042
7969,1264.6479986887239
7970,1159.7346986413982
7971,1052.4356798435444
7972,889.7212517545273
7973,907.9650765970332
7974,883.8801542303243
7975,576.9250951378335
7976,503.89835846111976
7977,372.7250170770152
7978,293.9106633229294
7979,228.32245719376365
7980,183.25171486955426
7981,256.9931956276035
7982,343.57097475691324
7983,328.175927520598
7984,668.9420691918708
7985,1023.033859186477
7986,847.8456904093372
7987,901.2108535470327
7988,1126.3527342736845
7989,1208.8848482118315
7990,1518.9878614136112
7991,1698.385739776193
7992,1297.0470826064784
7993,860.3407548577707
7994,937.4782976854635
7995,1026.222977396193
7996,1293.7060109559748
7997,1353.0090729421786
7998,1305.1003371627344
7999,1401.1789246669878
8000,1268.7120257232789
8001,1179.9258003901523
8002,1058.7398203752111
8003,950.4546531180673
8004,806.8997396997619
8005,697.8428922221572
8006,541.3515557994853
8007,344.10442592239497
8008,176.63527901412334
8009,53.02468449307396
8010,-0.0
8011,-0.0
8012,-0.0
8013,-0.0
8014,-0.0
8015,-0.0
8016,-0.0
