hour,Total_RD_Cost
7681,17399.454404316843
7682,25170.46995969936
7683,27290.67111838707
7684,24773.997031305556
7685,30667.1911473545
7686,45879.19316081419
7687,163101.6221138899
7688,242014.50050538388
7689,208811.24022402373
7690,169048.15816098088
7691,202918.10011598316
7692,256926.09113475427
7693,164899.45060873625
7694,178937.6158723421
7695,255113.13236761355
7696,230231.2865528971
7697,241121.52604250782
7698,239566.9596381443
7699,224680.48361059875
7700,252503.758223976
7701,221651.1035817676
7702,183037.07617280897
7703,237278.73702898828
7704,211498.27719435614
7705,288073.1548097938
7706,287305.9649574554
7707,280775.9987682223
7708,302506.7236971396
7709,290967.08185291826
7710,356745.77427143056
7711,417375.4933505705
7712,401621.7181987248
7713,258927.58702074114
7714,195370.0338822931
7715,231005.23036988653
7716,275931.8902731145
7717,222160.51539342638
7718,243671.84944731768
7719,258720.54040318454
7720,213810.457501579
7721,238912.56677466581
7722,264617.8196431972
7723,218861.5611405139
7724,219056.4251546341
7725,243970.01124967448
7726,265881.1096265285
7727,245721.4650766314
7728,172546.3147186272
7729,214093.90214166243
7730,210953.75074279905
7731,177796.9874718721
7732,179292.23178926943
7733,227227.9946725181
7734,293872.97280333773
7735,400991.69046721474
7736,436028.5108745116
7737,473638.7186466134
7738,452250.31404240365
7739,359821.738155513
7740,425203.918184495
7741,418141.2565322922
7742,381407.9276221648
7743,442996.51678066887
7744,411155.75517598767
7745,409008.8999161407
7746,388563.43013833417
7747,312078.777607789
7748,233726.03642295266
7749,167714.48816970215
7750,148019.5666379938
7751,63144.52491100569
7752,52550.18185178558
7753,89896.46183012976
7754,91251.97447048669
7755,96185.06180833897
7756,97699.77463549151
7757,98385.91744797965
7758,110639.80273127004
7759,189332.7261220726
7760,307473.4448487075
7761,156851.5734928978
7762,160693.01539095872
7763,194296.98564419648
7764,223091.47897160004
7765,238554.4195910367
7766,238924.84838393537
7767,193585.53529836418
7768,154443.1042506443
7769,186946.94417290957
7770,169849.10551095277
7771,134789.74706421662
7772,84187.62141954455
7773,48196.91499311694
7774,68483.58937292648
7775,53056.853341108326
7776,35669.12381869611
7777,7277.739533399218
7778,26034.40876220777
7779,32096.089676432635
7780,37117.31092798849
7781,28022.65215610696
7782,27332.930443381712
7783,16933.324407387307
7784,8094.975647425014
7785,9283.35792074191
7786,5137.226442787857
7787,6732.961919461453
7788,6314.683903238411
7789,5956.396885679754
7790,6758.105000794821
7791,7929.512464796355
7792,6638.141038593716
7793,9207.24850501521
7794,10410.344557902497
7795,8482.058181205368
7796,7094.147289447585
7797,5657.270547047923
7798,8185.330168562371
7799,7955.593811208673
7800,6019.1231484840555
7801,14007.12008139721
7802,14000.775904222062
7803,13898.802534350098
7804,12522.191428589786
7805,16933.551278107425
7806,18191.172649082782
7807,20740.409000315063
7808,16884.616539298942
7809,33613.30603071313
7810,35361.82840510766
7811,33767.69221476343
7812,43016.690721991006
7813,46180.25338072765
7814,44693.18376794214
7815,31848.64602986098
7816,37113.70206160628
7817,31576.545382439635
7818,37953.24678837669
7819,37982.017947424785
7820,31752.475415849258
7821,27845.568731977102
7822,21901.958179323276
7823,19213.056845000512
7824,23194.15073932903
7825,85147.76879478851
7826,65199.54222482288
7827,65741.01763323967
7828,79991.20514147915
7829,81614.64208388238
7830,82554.06559356929
7831,149738.59452839888
7832,175498.81667105263
7833,110969.77533386431
7834,154663.13513403272
7835,154667.55380666378
7836,162428.67397092856
7837,121216.27641646416
7838,213689.41371096444
7839,163861.3041816644
7840,180906.45791980534
7841,192335.7845102215
7842,251049.8111444745
7843,216495.00396382963
7844,184743.833585583
7845,169651.52668271394
7846,171060.6048635842
7847,160658.9324400166
7848,101680.38970544541
7849,50361.070187578895
7850,67883.40283395354
7851,51557.100981080395
7852,63277.690356276275
7853,73311.08916702852
7854,120749.16919029568
7855,267116.97883732495
7856,316610.3011116547
7857,239630.1972364368
7858,234477.00346846128
7859,328358.3326961984
7860,258832.78723755188
7861,344891.0490059439
7862,282258.23947222927
7863,325037.55321164767
7864,329394.9862251709
7865,441914.00659146934
7866,452775.59593420674
7867,396466.2024591327
7868,306775.73358498863
7869,270484.3496258948
7870,181370.8183308225
7871,164557.54200455316
7872,69602.93158169562
7873,178301.88500388552
7874,178972.82489119322
7875,160187.16248102262
7876,135068.44649079224
7877,160503.53059768898
7878,181234.97375093692
7879,305974.5301583585
7880,265252.72795041563
7881,221611.63395978662
7882,236749.42443541906
7883,189466.54069186578
7884,257067.25894532044
7885,193148.94738348824
7886,254449.92495573242
7887,282476.4795169508
7888,215493.70712659674
7889,250607.06160679838
7890,264284.2403133959
7891,230384.5945827744
7892,200670.15546808304
7893,178457.18794465857
7894,243123.04813878058
7895,151363.44610778816
7896,112291.3167353301
7897,157108.25064600515
7898,136066.72156906605
7899,142674.4817155982
7900,128174.59625964564
7901,149210.01794771137
7902,199278.84369744625
7903,314522.75856134645
7904,242508.86623784993
7905,237007.81197625943
7906,171722.38317183967
7907,181932.37748987728
7908,198616.29647827058
7909,168779.674455092
7910,191701.95767269869
7911,224259.154411852
7912,265133.52596162085
7913,226761.5823867301
7914,248647.54111066545
7915,209623.43318020157
7916,170637.021085269
7917,174382.54799444744
7918,121370.36248757852
7919,153560.19705178216
7920,99134.90427291192
7921,36153.02622528057
7922,34133.19623283724
7923,45418.28227196489
7924,52780.50865598375
7925,42113.72092906307
7926,85871.09624663458
7927,228566.5412675271
7928,247506.5192301131
7929,161415.2148996387
