tech,TotalGen
NaturalGas,17.366389262927974
Biomass,40.54694824541106
HardCoal,112.03738872028008
Lignite,138.25910410218145
Oil(light),0.00080563141322376
Waste,9.99838952
OtherFuels,0.0
Nuclear,86.91202703962809
Oil(heavy),0.0023889754204797433
WindOnshore,76.61354169845572
WindOffshore,7.603373923626006
SolarPV,34.352461252918545
RoR,17.22773812678689
Geothermal,0.09079608599999998
Hydro,3.163886196826255
